"Technology","Age","Value","Year"
"HEV-G",8,0,2009
"HEV-D",8,0,2009
"CNG",8,0,2009
"PHEV",8,0,2009
"BEV",8,0,2009
"ICEV-G",9,1574,2009
"ICEV-D",9,0,2009
"HEV-G",9,0,2009
"HEV-D",9,0,2009
"CNG",9,0,2009
"PHEV",9,0,2009
"BEV",9,0,2009
"ICEV-G",10,505,2009
"ICEV-D",10,0,2009
"HEV-G",10,0,2009
"HEV-D",10,0,2009
"CNG",10,0,2009
"PHEV",10,0,2009
"BEV",10,0,2009
"ICEV-G",11,586,2009
"ICEV-D",11,0,2009
"HEV-G",11,0,2009
"HEV-D",11,0,2009
"CNG",11,0,2009
"PHEV",11,0,2009
"BEV",11,0,2009
"ICEV-G",12,488,2009
"ICEV-D",12,0,2009
"HEV-G",12,0,2009
"HEV-D",12,0,2009
"CNG",12,0,2009
"PHEV",12,0,2009
"BEV",12,0,2009
"ICEV-G",13,1096,2009
"ICEV-D",13,0,2009
"HEV-G",13,0,2009
"HEV-D",13,0,2009
"CNG",13,0,2009
"PHEV",13,0,2009
"BEV",13,0,2009
"ICEV-G",14,577,2009
"ICEV-D",14,0,2009
"HEV-G",14,0,2009
"HEV-D",14,0,2009
"CNG",14,0,2009
"PHEV",14,0,2009
"BEV",14,0,2009
"ICEV-G",15,620,2009
"ICEV-D",15,0,2009
"HEV-G",15,0,2009
"HEV-D",15,0,2009
"CNG",15,0,2009
"PHEV",15,0,2009
"BEV",15,0,2009
"ICEV-G",0,37972,2010
"ICEV-D",0,95,2010
"HEV-G",0,687,2010
"HEV-D",0,0,2010
"CNG",0,38,2010
"PHEV",0,0,2010
"BEV",0,1,2010
"ICEV-G",1,67495,2010
"ICEV-D",1,26,2010
"HEV-G",1,668,2010
"HEV-D",1,0,2010
"CNG",1,250,2010
"PHEV",1,0,2010
"BEV",1,0,2010
"ICEV-G",2,98775,2010
"ICEV-D",2,13,2010
"HEV-G",2,962,2010
"HEV-D",2,0,2010
"CNG",2,2206,2010
"PHEV",2,0,2010
"BEV",2,0,2010
"ICEV-G",3,111439,2010
"ICEV-D",3,0,2010
"HEV-G",3,677,2010
"HEV-D",3,0,2010
"CNG",3,35,2010
"PHEV",3,0,2010
"BEV",3,0,2010
"ICEV-G",4,121521,2010
"ICEV-D",4,1,2010
"HEV-G",4,27,2010
"HEV-D",4,0,2010
"CNG",4,15,2010
"PHEV",4,0,2010
"BEV",4,0,2010
"ICEV-G",5,87984,2010
"ICEV-D",5,3,2010
"HEV-G",5,284,2010
"HEV-D",5,0,2010
"CNG",5,162,2010
"PHEV",5,0,2010
"BEV",5,1,2010
"ICEV-G",6,37564,2010
"ICEV-D",6,0,2010
"HEV-G",6,0,2010
"HEV-D",6,0,2010
"CNG",6,0,2010
"PHEV",6,0,2010
"BEV",6,0,2010
"ICEV-G",7,14014,2010
"ICEV-D",7,0,2010
"HEV-G",7,0,2010
"HEV-D",7,0,2010
"CNG",7,0,2010
"PHEV",7,0,2010
"BEV",7,0,2010
"ICEV-G",8,4713,2010
"ICEV-D",8,0,2010
"HEV-G",8,0,2010
"HEV-D",8,0,2010
"CNG",8,0,2010
"PHEV",8,0,2010
"BEV",8,0,2010
"ICEV-G",9,3790,2010
"ICEV-D",9,0,2010
"HEV-G",9,0,2010
"HEV-D",9,0,2010
"CNG",9,0,2010
"PHEV",9,0,2010
"BEV",9,0,2010
"ICEV-G",10,558,2010
"ICEV-D",10,0,2010
"HEV-G",10,0,2010
"HEV-D",10,0,2010
"CNG",10,0,2010
"PHEV",10,0,2010
"BEV",10,0,2010
"ICEV-G",11,501,2010
"ICEV-D",11,0,2010
"HEV-G",11,0,2010
"HEV-D",11,0,2010
"CNG",11,0,2010
"PHEV",11,0,2010
"BEV",11,0,2010
"ICEV-G",12,581,2010
"ICEV-D",12,0,2010
"HEV-G",12,0,2010
"HEV-D",12,0,2010
"CNG",12,0,2010
"PHEV",12,0,2010
"BEV",12,0,2010
"ICEV-G",13,475,2010
"ICEV-D",13,0,2010
"HEV-G",13,0,2010
"HEV-D",13,0,2010
"CNG",13,0,2010
"PHEV",13,0,2010
"BEV",13,0,2010
"ICEV-G",14,1082,2010
"ICEV-D",14,0,2010
"HEV-G",14,0,2010
"HEV-D",14,0,2010
"CNG",14,0,2010
"PHEV",14,0,2010
"BEV",14,0,2010
"ICEV-G",15,570,2010
"ICEV-D",15,0,2010
"HEV-G",15,0,2010
"HEV-D",15,0,2010
"CNG",15,0,2010
"PHEV",15,0,2010
"BEV",15,0,2010
"ICEV-G",0,20044,2011
"ICEV-D",0,208,2011
"HEV-G",0,485,2011
"HEV-D",0,0,2011
"CNG",0,0,2011
"PHEV",0,0,2011
"BEV",0,0,2011
"ICEV-G",1,37972,2011
"ICEV-D",1,95,2011
"HEV-G",1,687,2011
"HEV-D",1,0,2011
"CNG",1,37,2011
"PHEV",1,0,2011
"BEV",1,1,2011
"ICEV-G",2,67495,2011
"ICEV-D",2,26,2011
"HEV-G",2,668,2011
"HEV-D",2,0,2011
"CNG",2,244,2011
"PHEV",2,0,2011
"BEV",2,0,2011
"ICEV-G",3,98765,2011
"ICEV-D",3,13,2011
"HEV-G",3,962,2011
"HEV-D",3,0,2011
"CNG",3,2155,2011
"PHEV",3,0,2011
"BEV",3,0,2011
"ICEV-G",4,111298,2011
"ICEV-D",4,0,2011
"HEV-G",4,676,2011
"HEV-D",4,0,2011
"CNG",4,34,2011
"PHEV",4,0,2011
"BEV",4,0,2011
"ICEV-G",5,121260,2011
"ICEV-D",5,1,2011
"HEV-G",5,27,2011
"HEV-D",5,0,2011
"CNG",5,15,2011
"PHEV",5,0,2011
"BEV",5,0,2011
"ICEV-G",6,87106,2011
"ICEV-D",6,3,2011
"HEV-G",6,281,2011
"HEV-D",6,0,2011
"CNG",6,156,2011
"PHEV",6,0,2011
"BEV",6,1,2011
"ICEV-G",7,34178,2011
"ICEV-D",7,0,2011
"HEV-G",7,0,2011
"HEV-D",7,0,2011
"CNG",7,0,2011
"PHEV",7,0,2011
"BEV",7,0,2011
"ICEV-G",8,11710,2011
"ICEV-D",8,0,2011
"HEV-G",8,0,2011
"HEV-D",8,0,2011
"CNG",8,0,2011
"PHEV",8,0,2011
"BEV",8,0,2011
"ICEV-G",9,3376,2011
"ICEV-D",9,0,2011
"HEV-G",9,0,2011
"HEV-D",9,0,2011
"CNG",9,0,2011
"PHEV",9,0,2011
"BEV",9,0,2011
"ICEV-G",10,588,2011
"ICEV-D",10,0,2011
