"Scenario","Mode","Technology","Pollutant","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
NA,"Motorcycle","ICEM-G","NOx",0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.445,0.317,0.317,0.317,0.317,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194,0.194
NA,"Motorcycle","EM","NOx",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"Motorcycle","ICEM-G","NMVOC",1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,0.839,0.839,0.839,0.839,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465,0.465
NA,"Motorcycle","EM","NMVOC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"Motorcycle","ICEM-G","CO",13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,7.17,7.17,7.17,7.17,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03
NA,"Motorcycle","EM","CO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"Motorcycle","ICEM-G","PM",0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035
NA,"Motorcycle","EM","PM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"Public bus","ICEB-G","NOx",10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.7,10.7,10.7,10.7,9.38,9.38,9.38,9.38,9.38,5.42,5.42,5.42,5.42,5.42,3.09,3.09,3.09,3.09,0.597,0.597,0.597,0.597,0.597,0.597
NA,"Public bus","ICEB-D","NOx",10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.7,10.7,10.7,10.7,9.38,9.38,9.38,9.38,9.38,5.42,5.42,5.42,5.42,5.42,3.09,3.09,3.09,3.09,0.597,0.597,0.597,0.597,0.597,0.597
NA,"Public bus","HEB-G","NOx",10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.7,10.7,10.7,10.7,9.38,9.38,9.38,9.38,9.38,5.42,5.42,5.42,5.42,5.42,3.09,3.09,3.09,3.09,0.597,0.597,0.597,0.597,0.597,0.597
NA,"Public bus","HEB-D","NOx",10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.1,10.7,10.7,10.7,10.7,9.38,9.38,9.38,9.38,9.38,5.42,5.42,5.42,5.42,5.42,3.09,3.09,3.09,3.09,0.597,0.597,0.597,0.597,0.597,0.597
NA,"Public bus","CNGB","NOx",16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,15,15,15,15,10,10,10,10,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
NA,"Public bus","EB","NOx",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"Public bus","ICEB-G","NMVOC",0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.463,0.463,0.463,0.463,0.409,0.409,0.409,0.409,0.409,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
NA,"Public bus","ICEB-D","NMVOC",0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.463,0.463,0.463,0.463,0.409,0.409,0.409,0.409,0.409,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
NA,"Public bus","HEB-G","NMVOC",0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.463,0.463,0.463,0.463,0.409,0.409,0.409,0.409,0.409,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
NA,"Public bus","HEB-D","NMVOC",0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.463,0.463,0.463,0.463,0.409,0.409,0.409,0.409,0.409,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
NA,"Public bus","CNGB","NMVOC",0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.313,0.313,0.313,0.313,0.052,0.052,0.052,0.052,0.052,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045
NA,"Public bus","EB","NMVOC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"Public bus","ICEB-G","CO",2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.44,2.44,2.44,2.44,2.67,2.67,2.67,2.67,2.67,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223
NA,"Public bus","ICEB-D","CO",2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.44,2.44,2.44,2.44,2.67,2.67,2.67,2.67,2.67,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223
NA,"Public bus","HEB-G","CO",2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.44,2.44,2.44,2.44,2.67,2.67,2.67,2.67,2.67,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223
NA,"Public bus","HEB-D","CO",2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.44,2.44,2.44,2.44,2.67,2.67,2.67,2.67,2.67,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223
NA,"Public bus","CNGB","CO",8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,2.7,2.7,2.7,2.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NA,"Public bus","EB","CO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"Public bus","ICEB-G","PM",0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.22,0.22,0.22,0.22,0.207,0.207,0.207,0.207,0.207,0.0462,0.0462,0.0462,0.0462,0.0462,0.0462,0.0462,0.0462,0.0462,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023
NA,"Public bus","ICEB-D","PM",0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.22,0.22,0.22,0.22,0.207,0.207,0.207,0.207,0.207,0.0462,0.0462,0.0462,0.0462,0.0462,0.0462,0.0462,0.0462,0.0462,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023
NA,"Public bus","HEB-G","PM",0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.22,0.22,0.22,0.22,0.207,0.207,0.207,0.207,0.207,0.0462,0.0462,0.0462,0.0462,0.0462,0.0462,0.0462,0.0462,0.0462,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023
NA,"Public bus","HEB-D","PM",0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.479,0.22,0.22,0.22,0.22,0.207,0.207,0.207,0.207,0.207,0.0462,0.0462,0.0462,0.0462,0.0462,0.0462,0.0462,0.0462,0.0462,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023
NA,"Public bus","CNGB","PM",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
NA,"Public bus","EB","PM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"Private bus","ICEB-G","NOx",8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.95,8.95,8.95,8.95,7.51,7.51,7.51,7.51,7.51,4.51,4.51,4.51,4.51,4.51,2.57,2.57,2.57,2.57,0.496,0.496,0.496,0.496,0.496,0.496
NA,"Private bus","ICEB-D","NOx",8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.95,8.95,8.95,8.95,7.51,7.51,7.51,7.51,7.51,4.51,4.51,4.51,4.51,4.51,2.57,2.57,2.57,2.57,0.496,0.496,0.496,0.496,0.496,0.496
NA,"Private bus","HEB-G","NOx",8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.95,8.95,8.95,8.95,7.51,7.51,7.51,7.51,7.51,4.51,4.51,4.51,4.51,4.51,2.57,2.57,2.57,2.57,0.496,0.496,0.496,0.496,0.496,0.496
NA,"Private bus","HEB-D","NOx",8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.95,8.95,8.95,8.95,7.51,7.51,7.51,7.51,7.51,4.51,4.51,4.51,4.51,4.51,2.57,2.57,2.57,2.57,0.496,0.496,0.496,0.496,0.496,0.496
NA,"Private bus","CNGB","NOx",16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,15,15,15,15,10,10,10,10,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
NA,"Private bus","EB","NOx",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"Private bus","ICEB-G","NMVOC",0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.416,0.416,0.416,0.416,0.399,0.399,0.399,0.399,0.399,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
NA,"Private bus","ICEB-D","NMVOC",0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.416,0.416,0.416,0.416,0.399,0.399,0.399,0.399,0.399,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
NA,"Private bus","HEB-G","NMVOC",0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.416,0.416,0.416,0.416,0.399,0.399,0.399,0.399,0.399,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
NA,"Private bus","HEB-D","NMVOC",0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.416,0.416,0.416,0.416,0.399,0.399,0.399,0.399,0.399,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
NA,"Private bus","CNGB","NMVOC",0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.313,0.313,0.313,0.313,0.052,0.052,0.052,0.052,0.052,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045
NA,"Private bus","EB","NMVOC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"Private bus","ICEB-G","CO",1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.6,1.6,1.6,1.6,1.91,1.91,1.91,1.91,1.91,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
NA,"Private bus","ICEB-D","CO",1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.6,1.6,1.6,1.6,1.91,1.91,1.91,1.91,1.91,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
NA,"Private bus","HEB-G","CO",1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.6,1.6,1.6,1.6,1.91,1.91,1.91,1.91,1.91,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
NA,"Private bus","HEB-D","CO",1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.6,1.6,1.6,1.6,1.91,1.91,1.91,1.91,1.91,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
NA,"Private bus","CNGB","CO",8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,2.7,2.7,2.7,2.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NA,"Private bus","EB","CO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"Private bus","ICEB-G","PM",0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.165,0.165,0.165,0.165,0.178,0.178,0.178,0.178,0.178,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
NA,"Private bus","ICEB-D","PM",0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.165,0.165,0.165,0.165,0.178,0.178,0.178,0.178,0.178,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
NA,"Private bus","HEB-G","PM",0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.165,0.165,0.165,0.165,0.178,0.178,0.178,0.178,0.178,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
NA,"Private bus","HEB-D","PM",0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.165,0.165,0.165,0.165,0.178,0.178,0.178,0.178,0.178,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
NA,"Private bus","CNGB","PM",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
NA,"Private bus","EB","PM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"School bus","ICEB-G","NOx",8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.95,8.95,8.95,8.95,7.51,7.51,7.51,7.51,7.51,4.51,4.51,4.51,4.51,4.51,2.57,2.57,2.57,2.57,0.496,0.496,0.496,0.496,0.496,0.496
NA,"School bus","ICEB-D","NOx",8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.95,8.95,8.95,8.95,7.51,7.51,7.51,7.51,7.51,4.51,4.51,4.51,4.51,4.51,2.57,2.57,2.57,2.57,0.496,0.496,0.496,0.496,0.496,0.496
NA,"School bus","HEB-G","NOx",8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.95,8.95,8.95,8.95,7.51,7.51,7.51,7.51,7.51,4.51,4.51,4.51,4.51,4.51,2.57,2.57,2.57,2.57,0.496,0.496,0.496,0.496,0.496,0.496
NA,"School bus","HEB-D","NOx",8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.95,8.95,8.95,8.95,7.51,7.51,7.51,7.51,7.51,4.51,4.51,4.51,4.51,4.51,2.57,2.57,2.57,2.57,0.496,0.496,0.496,0.496,0.496,0.496
NA,"School bus","CNGB","NOx",16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,15,15,15,15,10,10,10,10,10,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
NA,"School bus","EB","NOx",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"School bus","ICEB-G","NMVOC",0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.416,0.416,0.416,0.416,0.399,0.399,0.399,0.399,0.399,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
NA,"School bus","ICEB-D","NMVOC",0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.416,0.416,0.416,0.416,0.399,0.399,0.399,0.399,0.399,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
NA,"School bus","HEB-G","NMVOC",0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.416,0.416,0.416,0.416,0.399,0.399,0.399,0.399,0.399,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
NA,"School bus","HEB-D","NMVOC",0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.624,0.416,0.416,0.416,0.416,0.399,0.399,0.399,0.399,0.399,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
NA,"School bus","CNGB","NMVOC",0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.371,0.313,0.313,0.313,0.313,0.052,0.052,0.052,0.052,0.052,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045
NA,"School bus","EB","NMVOC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"School bus","ICEB-G","CO",1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.6,1.6,1.6,1.6,1.91,1.91,1.91,1.91,1.91,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
NA,"School bus","ICEB-D","CO",1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.6,1.6,1.6,1.6,1.91,1.91,1.91,1.91,1.91,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
NA,"School bus","HEB-G","CO",1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.6,1.6,1.6,1.6,1.91,1.91,1.91,1.91,1.91,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
NA,"School bus","HEB-D","CO",1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.85,1.6,1.6,1.6,1.6,1.91,1.91,1.91,1.91,1.91,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
NA,"School bus","CNGB","CO",8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,2.7,2.7,2.7,2.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NA,"School bus","EB","CO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,"School bus","ICEB-G","PM",0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.165,0.165,0.165,0.165,0.178,0.178,0.178,0.178,0.178,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
NA,"School bus","ICEB-D","PM",0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.165,0.165,0.165,0.165,0.178,0.178,0.178,0.178,0.178,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
NA,"School bus","HEB-G","PM",0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.165,0.165,0.165,0.165,0.178,0.178,0.178,0.178,0.178,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
NA,"School bus","HEB-D","PM",0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.165,0.165,0.165,0.165,0.178,0.178,0.178,0.178,0.178,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018
NA,"School bus","CNGB","PM",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
NA,"School bus","EB","PM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
