"Technology","Age","Value","Year","Mode"
"HEB-D",3,0,2009,"Public bus"
"CNGB",3,3,2009,"Public bus"
"EB",3,0,2009,"Public bus"
"ICEB-D",4,225,2009,"Public bus"
"HEB-D",4,0,2009,"Public bus"
"CNGB",4,0,2009,"Public bus"
"EB",4,0,2009,"Public bus"
"ICEB-D",5,199,2009,"Public bus"
"HEB-D",5,0,2009,"Public bus"
"CNGB",5,0,2009,"Public bus"
"EB",5,0,2009,"Public bus"
"ICEB-D",6,201,2009,"Public bus"
"HEB-D",6,0,2009,"Public bus"
"CNGB",6,0,2009,"Public bus"
"EB",6,0,2009,"Public bus"
"ICEB-D",7,168,2009,"Public bus"
"HEB-D",7,0,2009,"Public bus"
"CNGB",7,0,2009,"Public bus"
"EB",7,0,2009,"Public bus"
"ICEB-D",8,223,2009,"Public bus"
"HEB-D",8,0,2009,"Public bus"
"CNGB",8,0,2009,"Public bus"
"EB",8,0,2009,"Public bus"
"ICEB-D",9,341,2009,"Public bus"
"HEB-D",9,0,2009,"Public bus"
"CNGB",9,0,2009,"Public bus"
"EB",9,0,2009,"Public bus"
"ICEB-D",10,206,2009,"Public bus"
"HEB-D",10,0,2009,"Public bus"
"CNGB",10,0,2009,"Public bus"
"EB",10,0,2009,"Public bus"
"ICEB-D",11,200,2009,"Public bus"
"HEB-D",11,0,2009,"Public bus"
"CNGB",11,0,2009,"Public bus"
"EB",11,0,2009,"Public bus"
"ICEB-D",12,255,2009,"Public bus"
"HEB-D",12,0,2009,"Public bus"
"CNGB",12,0,2009,"Public bus"
"EB",12,0,2009,"Public bus"
"ICEB-D",13,180,2009,"Public bus"
"HEB-D",13,0,2009,"Public bus"
"CNGB",13,0,2009,"Public bus"
"EB",13,0,2009,"Public bus"
"ICEB-D",14,287,2009,"Public bus"
"HEB-D",14,0,2009,"Public bus"
"CNGB",14,0,2009,"Public bus"
"EB",14,0,2009,"Public bus"
"ICEB-D",15,238,2009,"Public bus"
"HEB-D",15,0,2009,"Public bus"
"CNGB",15,0,2009,"Public bus"
"EB",15,0,2009,"Public bus"
"ICEB-D",16,200,2009,"Public bus"
"HEB-D",16,0,2009,"Public bus"
"CNGB",16,0,2009,"Public bus"
"EB",16,0,2009,"Public bus"
"ICEB-D",17,151,2009,"Public bus"
"HEB-D",17,0,2009,"Public bus"
"CNGB",17,0,2009,"Public bus"
"EB",17,0,2009,"Public bus"
"ICEB-D",18,109,2009,"Public bus"
"HEB-D",18,0,2009,"Public bus"
"CNGB",18,0,2009,"Public bus"
"EB",18,0,2009,"Public bus"
"ICEB-D",19,43,2009,"Public bus"
"HEB-D",19,0,2009,"Public bus"
"CNGB",19,0,2009,"Public bus"
"EB",19,0,2009,"Public bus"
"ICEB-D",20,9,2009,"Public bus"
"HEB-D",20,0,2009,"Public bus"
"CNGB",20,0,2009,"Public bus"
"EB",20,0,2009,"Public bus"
"ICEB-D",0,179,2010,"Public bus"
"HEB-D",0,1,2010,"Public bus"
"CNGB",0,4,2010,"Public bus"
"EB",0,0,2010,"Public bus"
"ICEB-D",1,398,2010,"Public bus"
"HEB-D",1,0,2010,"Public bus"
"CNGB",1,5,2010,"Public bus"
"EB",1,0,2010,"Public bus"
"ICEB-D",2,315,2010,"Public bus"
"HEB-D",2,0,2010,"Public bus"
"CNGB",2,0,2010,"Public bus"
"EB",2,0,2010,"Public bus"
"ICEB-D",3,148,2010,"Public bus"
"HEB-D",3,0,2010,"Public bus"
"CNGB",3,0,2010,"Public bus"
"EB",3,0,2010,"Public bus"
"ICEB-D",4,304,2010,"Public bus"
"HEB-D",4,0,2010,"Public bus"
"CNGB",4,3,2010,"Public bus"
"EB",4,0,2010,"Public bus"
"ICEB-D",5,225,2010,"Public bus"
"HEB-D",5,0,2010,"Public bus"
"CNGB",5,0,2010,"Public bus"
"EB",5,0,2010,"Public bus"
"ICEB-D",6,198,2010,"Public bus"
"HEB-D",6,0,2010,"Public bus"
"CNGB",6,0,2010,"Public bus"
"EB",6,0,2010,"Public bus"
"ICEB-D",7,197,2010,"Public bus"
"HEB-D",7,0,2010,"Public bus"
"CNGB",7,0,2010,"Public bus"
"EB",7,0,2010,"Public bus"
"ICEB-D",8,163,2010,"Public bus"
"HEB-D",8,0,2010,"Public bus"
"CNGB",8,0,2010,"Public bus"
"EB",8,0,2010,"Public bus"
"ICEB-D",9,214,2010,"Public bus"
"HEB-D",9,0,2010,"Public bus"
"CNGB",9,0,2010,"Public bus"
"EB",9,0,2010,"Public bus"
"ICEB-D",10,311,2010,"Public bus"
"HEB-D",10,0,2010,"Public bus"
"CNGB",10,0,2010,"Public bus"
"EB",10,0,2010,"Public bus"
"ICEB-D",11,201,2010,"Public bus"
"HEB-D",11,0,2010,"Public bus"
"CNGB",11,0,2010,"Public bus"
"EB",11,0,2010,"Public bus"
"ICEB-D",12,199,2010,"Public bus"
"HEB-D",12,0,2010,"Public bus"
"CNGB",12,0,2010,"Public bus"
"EB",12,0,2010,"Public bus"
"ICEB-D",13,253,2010,"Public bus"
"HEB-D",13,0,2010,"Public bus"
"CNGB",13,0,2010,"Public bus"
"EB",13,0,2010,"Public bus"
"ICEB-D",14,176,2010,"Public bus"
"HEB-D",14,0,2010,"Public bus"
"CNGB",14,0,2010,"Public bus"
"EB",14,0,2010,"Public bus"
"ICEB-D",15,281,2010,"Public bus"
"HEB-D",15,0,2010,"Public bus"
"CNGB",15,0,2010,"Public bus"
"EB",15,0,2010,"Public bus"
"ICEB-D",16,232,2010,"Public bus"
"HEB-D",16,0,2010,"Public bus"
"CNGB",16,0,2010,"Public bus"
"EB",16,0,2010,"Public bus"
"ICEB-D",17,181,2010,"Public bus"
"HEB-D",17,0,2010,"Public bus"
"CNGB",17,0,2010,"Public bus"
"EB",17,0,2010,"Public bus"
"ICEB-D",18,128,2010,"Public bus"
"HEB-D",18,0,2010,"Public bus"
"CNGB",18,0,2010,"Public bus"
"EB",18,0,2010,"Public bus"
"ICEB-D",19,27,2010,"Public bus"
"HEB-D",19,0,2010,"Public bus"
"CNGB",19,0,2010,"Public bus"
"EB",19,0,2010,"Public bus"
"ICEB-D",20,11,2010,"Public bus"
"HEB-D",20,0,2010,"Public bus"
"CNGB",20,0,2010,"Public bus"
"EB",20,0,2010,"Public bus"
"ICEB-D",0,392,2011,"Public bus"
"HEB-D",0,0,2011,"Public bus"
"CNGB",0,0,2011,"Public bus"
"EB",0,0,2011,"Public bus"
"ICEB-D",1,179,2011,"Public bus"
"HEB-D",1,1,2011,"Public bus"
"CNGB",1,2,2011,"Public bus"
"EB",1,0,2011,"Public bus"
"ICEB-D",2,398,2011,"Public bus"
"HEB-D",2,0,2011,"Public bus"
"CNGB",2,3,2011,"Public bus"
"EB",2,0,2011,"Public bus"
"ICEB-D",3,315,2011,"Public bus"
"HEB-D",3,0,2011,"Public bus"
"CNGB",3,0,2011,"Public bus"
"EB",3,0,2011,"Public bus"
"ICEB-D",4,148,2011,"Public bus"
"HEB-D",4,0,2011,"Public bus"
"CNGB",4,0,2011,"Public bus"
"EB",4,0,2011,"Public bus"
"ICEB-D",5,304,2011,"Public bus"
