"Technology","Age","Value","Year","Mode"
"ICEM-G",12,4404,2011,"Motorcycle"
"EM",12,0,2011,"Motorcycle"
"ICEM-G",13,3638,2011,"Motorcycle"
"EM",13,0,2011,"Motorcycle"
"ICEM-G",14,2577,2011,"Motorcycle"
"EM",14,0,2011,"Motorcycle"
"ICEM-G",15,1913,2011,"Motorcycle"
"EM",15,0,2011,"Motorcycle"
"ICEM-G",16,1084,2011,"Motorcycle"
"EM",16,0,2011,"Motorcycle"
"ICEM-G",17,1831,2011,"Motorcycle"
"EM",17,0,2011,"Motorcycle"
"ICEM-G",18,1499,2011,"Motorcycle"
"EM",18,0,2011,"Motorcycle"
"ICEM-G",19,768,2011,"Motorcycle"
"EM",19,0,2011,"Motorcycle"
"ICEM-G",20,710,2011,"Motorcycle"
"EM",20,0,2011,"Motorcycle"
"ICEM-G",0,7959,2012,"Motorcycle"
"EM",0,0,2012,"Motorcycle"
"ICEM-G",1,7441,2012,"Motorcycle"
"EM",1,1,2012,"Motorcycle"
"ICEM-G",2,8238,2012,"Motorcycle"
"EM",2,3,2012,"Motorcycle"
"ICEM-G",3,8433,2012,"Motorcycle"
"EM",3,4,2012,"Motorcycle"
"ICEM-G",4,9739,2012,"Motorcycle"
"EM",4,0,2012,"Motorcycle"
"ICEM-G",5,8869,2012,"Motorcycle"
"EM",5,0,2012,"Motorcycle"
"ICEM-G",6,22494,2012,"Motorcycle"
"EM",6,0,2012,"Motorcycle"
"ICEM-G",7,10838,2012,"Motorcycle"
"EM",7,0,2012,"Motorcycle"
"ICEM-G",8,10421,2012,"Motorcycle"
"EM",8,0,2012,"Motorcycle"
"ICEM-G",9,11929,2012,"Motorcycle"
"EM",9,0,2012,"Motorcycle"
"ICEM-G",10,9633,2012,"Motorcycle"
"EM",10,0,2012,"Motorcycle"
"ICEM-G",11,6446,2012,"Motorcycle"
"EM",11,0,2012,"Motorcycle"
"ICEM-G",12,5375,2012,"Motorcycle"
"EM",12,0,2012,"Motorcycle"
"ICEM-G",13,4103,2012,"Motorcycle"
"EM",13,0,2012,"Motorcycle"
"ICEM-G",14,3300,2012,"Motorcycle"
"EM",14,0,2012,"Motorcycle"
"ICEM-G",15,2227,2012,"Motorcycle"
"EM",15,0,2012,"Motorcycle"
"ICEM-G",16,1750,2012,"Motorcycle"
"EM",16,0,2012,"Motorcycle"
"ICEM-G",17,951,2012,"Motorcycle"
