"Technology","Age","Value","Year"
"ICEV-D",0,0,2007
"HEV-G",0,16,2007
"HEV-D",0,0,2007
"CNG",0,1,2007
"PHEV",0,0,2007
"BEV",0,0,2007
"ICEV-G",1,2326,2007
"ICEV-D",1,0,2007
"HEV-G",1,1,2007
"HEV-D",1,0,2007
"CNG",1,0,2007
"PHEV",1,0,2007
"BEV",1,0,2007
"ICEV-G",2,2121,2007
"ICEV-D",2,0,2007
"HEV-G",2,6,2007
"HEV-D",2,0,2007
"CNG",2,4,2007
"PHEV",2,0,2007
"BEV",2,0,2007
"ICEV-G",3,1589,2007
"ICEV-D",3,0,2007
"HEV-G",3,0,2007
"HEV-D",3,0,2007
"CNG",3,0,2007
"PHEV",3,0,2007
"BEV",3,0,2007
"ICEV-G",4,822,2007
"ICEV-D",4,0,2007
"HEV-G",4,0,2007
"HEV-D",4,0,2007
"CNG",4,0,2007
"PHEV",4,0,2007
"BEV",4,0,2007
"ICEV-G",5,248,2007
"ICEV-D",5,0,2007
"HEV-G",5,0,2007
"HEV-D",5,0,2007
"CNG",5,0,2007
"PHEV",5,0,2007
"BEV",5,0,2007
"ICEV-G",6,207,2007
"ICEV-D",6,0,2007
"HEV-G",6,0,2007
"HEV-D",6,0,2007
"CNG",6,0,2007
"PHEV",6,0,2007
"BEV",6,0,2007
"ICEV-G",7,71,2007
"ICEV-D",7,0,2007
"HEV-G",7,0,2007
"HEV-D",7,0,2007
"CNG",7,0,2007
"PHEV",7,0,2007
"BEV",7,0,2007
"ICEV-G",8,39,2007
"ICEV-D",8,0,2007
"HEV-G",8,0,2007
"HEV-D",8,0,2007
"CNG",8,0,2007
"PHEV",8,0,2007
"BEV",8,0,2007
"ICEV-G",9,45,2007
"ICEV-D",9,0,2007
"HEV-G",9,0,2007
"HEV-D",9,0,2007
"CNG",9,0,2007
"PHEV",9,0,2007
"BEV",9,0,2007
"ICEV-G",10,10,2007
"ICEV-D",10,0,2007
"HEV-G",10,0,2007
"HEV-D",10,0,2007
"CNG",10,0,2007
"PHEV",10,0,2007
"BEV",10,0,2007
"ICEV-G",11,22,2007
"ICEV-D",11,0,2007
"HEV-G",11,0,2007
"HEV-D",11,0,2007
"CNG",11,0,2007
"PHEV",11,0,2007
"BEV",11,0,2007
"ICEV-G",12,13,2007
"ICEV-D",12,0,2007
"HEV-G",12,0,2007
"HEV-D",12,0,2007
"CNG",12,0,2007
"PHEV",12,0,2007
"BEV",12,0,2007
"ICEV-G",13,13,2007
"ICEV-D",13,0,2007
"HEV-G",13,0,2007
"HEV-D",13,0,2007
"CNG",13,0,2007
"PHEV",13,0,2007
"BEV",13,0,2007
"ICEV-G",14,62,2007
"ICEV-D",14,0,2007
"HEV-G",14,0,2007
"HEV-D",14,0,2007
"CNG",14,0,2007
"PHEV",14,0,2007
"BEV",14,0,2007
"ICEV-G",15,182,2007
"ICEV-D",15,0,2007
"HEV-G",15,0,2007
"HEV-D",15,0,2007
"CNG",15,0,2007
"PHEV",15,0,2007
"BEV",15,0,2007
"ICEV-G",16,136,2007
"ICEV-D",16,0,2007
"HEV-G",16,0,2007
"HEV-D",16,0,2007
"CNG",16,0,2007
"PHEV",16,0,2007
"BEV",16,0,2007
"ICEV-G",17,20,2007
"ICEV-D",17,0,2007
"HEV-G",17,0,2007
"HEV-D",17,0,2007
"CNG",17,0,2007
"PHEV",17,0,2007
"BEV",17,0,2007
"ICEV-G",18,27,2007
"ICEV-D",18,0,2007
"HEV-G",18,0,2007
"HEV-D",18,0,2007
"CNG",18,0,2007
"PHEV",18,0,2007
"BEV",18,0,2007
"ICEV-G",19,9,2007
"ICEV-D",19,0,2007
"HEV-G",19,0,2007
"HEV-D",19,0,2007
"CNG",19,0,2007
"PHEV",19,0,2007
"BEV",19,0,2007
"ICEV-G",20,7,2007
"ICEV-D",20,0,2007
"HEV-G",20,0,2007
"HEV-D",20,0,2007
"CNG",20,0,2007
"PHEV",20,0,2007
"BEV",20,0,2007
"ICEV-G",0,2459,2008
"ICEV-D",0,0,2008
"HEV-G",0,22,2008
"HEV-D",0,0,2008
"CNG",0,50,2008
"PHEV",0,0,2008
"BEV",0,0,2008
"ICEV-G",1,3055,2008
"ICEV-D",1,0,2008
"HEV-G",1,16,2008
"HEV-D",1,0,2008
"CNG",1,1,2008
"PHEV",1,0,2008
"BEV",1,0,2008
"ICEV-G",2,2322,2008
"ICEV-D",2,0,2008
"HEV-G",2,1,2008
"HEV-D",2,0,2008
"CNG",2,0,2008
"PHEV",2,0,2008
"BEV",2,0,2008
"ICEV-G",3,2002,2008
"ICEV-D",3,0,2008
