"Value","Year","Convergence_year","Scenario","Model","Unit","Target"
35.2336132513814,2023,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
33.8485283185675,2024,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
32.4634433857535,2025,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
31.0783584529396,2026,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
29.6932735201256,2027,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
28.3081885873117,2028,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
26.9231036544977,2029,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
25.5380187216838,2030,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
23.7526425483976,2031,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
21.9672663751114,2032,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
20.1818902018252,2033,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
18.396514028539,2034,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
16.6111378552528,2035,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
14.8257616819666,2036,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
13.0403855086804,2037,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
11.2550093353942,2038,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
9.46963316210799,2039,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
7.68425698882179,2040,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
7.08300323892387,2041,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
6.48174948902595,2042,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
5.88049573912803,2043,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
5.27924198923011,2044,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
4.67798823933219,2045,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
4.07673448943427,2046,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
3.47548073953635,2047,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
2.87422698963843,2048,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
2.27297323974051,2049,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
1.67171948984259,2050,"grandfathering","SSP1-19","IMAGE","Mt CO2","1.5C"
36.901353,2005,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
37.171597,2006,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
38.286019,2007,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
38.426592,2008,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
38.831762,2009,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
42.413616,2010,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
44.763911,2011,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
43.692284,2012,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
43.917804,2013,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
44.459324,2014,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
45.49601,2015,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
46.065234,2016,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
47.407144,2017,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
40.9238208991054,2018,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
41.1605608415226,2019,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
41.3973007839399,2020,"grandfathering","SSP1-19","MESSAGE-GLOBIOM","Mt CO2","1.5C"
