"Technology","Age","Value","Year"
"CNG",10,0,2013
"PHEV",10,0,2013
"BEV",10,0,2013
"ICEV-G",11,0,2013
"ICEV-D",11,19,2013
"HEV-G",11,0,2013
"HEV-D",11,0,2013
"CNG",11,0,2013
"PHEV",11,0,2013
"BEV",11,0,2013
"ICEV-G",12,0,2013
"ICEV-D",12,30,2013
"HEV-G",12,0,2013
"HEV-D",12,0,2013
"CNG",12,0,2013
"PHEV",12,0,2013
"BEV",12,0,2013
"ICEV-G",13,0,2013
"ICEV-D",13,28,2013
"HEV-G",13,0,2013
"HEV-D",13,0,2013
"CNG",13,0,2013
"PHEV",13,0,2013
"BEV",13,0,2013
"ICEV-G",14,0,2013
"ICEV-D",14,26,2013
"HEV-G",14,0,2013
"HEV-D",14,0,2013
"CNG",14,0,2013
"PHEV",14,0,2013
"BEV",14,0,2013
"ICEV-G",15,0,2013
"ICEV-D",15,29,2013
"HEV-G",15,0,2013
"HEV-D",15,0,2013
"CNG",15,0,2013
"PHEV",15,0,2013
"BEV",15,0,2013
"ICEV-G",0,0,2014
"ICEV-D",0,2036,2014
"HEV-G",0,946,2014
"HEV-D",0,0,2014
"CNG",0,0,2014
"PHEV",0,0,2014
"BEV",0,0,2014
"ICEV-G",1,120,2014
"ICEV-D",1,20,2014
"HEV-G",1,537,2014
"HEV-D",1,0,2014
"CNG",1,0,2014
"PHEV",1,0,2014
"BEV",1,0,2014
"ICEV-G",2,167,2014
