"Technology","Age","Value","Year","Mode"
"ICEB-D",5,201,2008,"School bus"
"HEB-G",5,0,2008,"School bus"
"HEB-D",5,0,2008,"School bus"
"CNGB",5,0,2008,"School bus"
"EB",5,0,2008,"School bus"
"ICEB-G",6,5,2008,"School bus"
"ICEB-D",6,174,2008,"School bus"
"HEB-G",6,0,2008,"School bus"
"HEB-D",6,0,2008,"School bus"
"CNGB",6,0,2008,"School bus"
"EB",6,0,2008,"School bus"
"ICEB-G",7,8,2008,"School bus"
"ICEB-D",7,228,2008,"School bus"
"HEB-G",7,0,2008,"School bus"
"HEB-D",7,0,2008,"School bus"
"CNGB",7,0,2008,"School bus"
"EB",7,0,2008,"School bus"
"ICEB-G",8,11,2008,"School bus"
"ICEB-D",8,348,2008,"School bus"
"HEB-G",8,0,2008,"School bus"
"HEB-D",8,0,2008,"School bus"
"CNGB",8,0,2008,"School bus"
"EB",8,0,2008,"School bus"
"ICEB-G",9,7,2008,"School bus"
"ICEB-D",9,217,2008,"School bus"
"HEB-G",9,0,2008,"School bus"
"HEB-D",9,0,2008,"School bus"
"CNGB",9,0,2008,"School bus"
"EB",9,0,2008,"School bus"
"ICEB-G",10,7,2008,"School bus"
"ICEB-D",10,200,2008,"School bus"
"HEB-G",10,0,2008,"School bus"
"HEB-D",10,0,2008,"School bus"
"CNGB",10,0,2008,"School bus"
"EB",10,0,2008,"School bus"
"ICEB-G",11,8,2008,"School bus"
"ICEB-D",11,254,2008,"School bus"
"HEB-G",11,0,2008,"School bus"
"HEB-D",11,0,2008,"School bus"
"CNGB",11,0,2008,"School bus"
"EB",11,0,2008,"School bus"
"ICEB-G",12,6,2008,"School bus"
"ICEB-D",12,182,2008,"School bus"
"HEB-G",12,0,2008,"School bus"
"HEB-D",12,0,2008,"School bus"
"CNGB",12,0,2008,"School bus"
"EB",12,0,2008,"School bus"
"ICEB-G",13,9,2008,"School bus"
"ICEB-D",13,288,2008,"School bus"
"HEB-G",13,0,2008,"School bus"
"HEB-D",13,0,2008,"School bus"
"CNGB",13,0,2008,"School bus"
"EB",13,0,2008,"School bus"
"ICEB-G",14,8,2008,"School bus"
"ICEB-D",14,242,2008,"School bus"
"HEB-G",14,0,2008,"School bus"
"HEB-D",14,0,2008,"School bus"
"CNGB",14,0,2008,"School bus"
"EB",14,0,2008,"School bus"
"ICEB-G",15,7,2008,"School bus"
"ICEB-D",15,209,2008,"School bus"
"HEB-G",15,0,2008,"School bus"
"HEB-D",15,0,2008,"School bus"
"CNGB",15,0,2008,"School bus"
"EB",15,0,2008,"School bus"
"ICEB-G",16,6,2008,"School bus"
"ICEB-D",16,171,2008,"School bus"
"HEB-G",16,0,2008,"School bus"
"HEB-D",16,0,2008,"School bus"
"CNGB",16,0,2008,"School bus"
"EB",16,0,2008,"School bus"
"ICEB-G",17,4,2008,"School bus"
"ICEB-D",17,129,2008,"School bus"
"HEB-G",17,0,2008,"School bus"
"HEB-D",17,0,2008,"School bus"
"CNGB",17,0,2008,"School bus"
"EB",17,0,2008,"School bus"
"ICEB-G",18,4,2008,"School bus"
"ICEB-D",18,111,2008,"School bus"
"HEB-G",18,0,2008,"School bus"
"HEB-D",18,0,2008,"School bus"
"CNGB",18,0,2008,"School bus"
"EB",18,0,2008,"School bus"
"ICEB-G",19,1,2008,"School bus"
"ICEB-D",19,23,2008,"School bus"
"HEB-G",19,0,2008,"School bus"
"HEB-D",19,0,2008,"School bus"
"CNGB",19,0,2008,"School bus"
"EB",19,0,2008,"School bus"
"ICEB-G",20,0,2008,"School bus"
"ICEB-D",20,5,2008,"School bus"
"HEB-G",20,0,2008,"School bus"
"HEB-D",20,0,2008,"School bus"
"CNGB",20,0,2008,"School bus"
"EB",20,0,2008,"School bus"
"ICEB-G",0,0,2009,"School bus"
"ICEB-D",0,601,2009,"School bus"
"HEB-G",0,0,2009,"School bus"
"HEB-D",0,0,2009,"School bus"
"CNGB",0,6,2009,"School bus"
"EB",0,0,2009,"School bus"
"ICEB-G",1,0,2009,"School bus"
"ICEB-D",1,610,2009,"School bus"
"HEB-G",1,0,2009,"School bus"
"HEB-D",1,0,2009,"School bus"
"CNGB",1,0,2009,"School bus"
"EB",1,0,2009,"School bus"
"ICEB-G",2,0,2009,"School bus"
"ICEB-D",2,302,2009,"School bus"
"HEB-G",2,0,2009,"School bus"
"HEB-D",2,0,2009,"School bus"
"CNGB",2,0,2009,"School bus"
"EB",2,0,2009,"School bus"
"ICEB-G",3,8,2009,"School bus"
"ICEB-D",3,398,2009,"School bus"
"HEB-G",3,0,2009,"School bus"
"HEB-D",3,0,2009,"School bus"
"CNGB",3,4,2009,"School bus"
"EB",3,0,2009,"School bus"
"ICEB-G",4,0,2009,"School bus"
"ICEB-D",4,231,2009,"School bus"
"HEB-G",4,0,2009,"School bus"
"HEB-D",4,0,2009,"School bus"
"CNGB",4,0,2009,"School bus"
"EB",4,0,2009,"School bus"
"ICEB-G",5,5,2009,"School bus"
"ICEB-D",5,198,2009,"School bus"
"HEB-G",5,0,2009,"School bus"
"HEB-D",5,0,2009,"School bus"
"CNGB",5,0,2009,"School bus"
"EB",5,0,2009,"School bus"
"ICEB-G",6,5,2009,"School bus"
"ICEB-D",6,199,2009,"School bus"
"HEB-G",6,0,2009,"School bus"
"HEB-D",6,0,2009,"School bus"
"CNGB",6,0,2009,"School bus"
"EB",6,0,2009,"School bus"
"ICEB-G",7,4,2009,"School bus"
"ICEB-D",7,167,2009,"School bus"
"HEB-G",7,0,2009,"School bus"
"HEB-D",7,0,2009,"School bus"
"CNGB",7,0,2009,"School bus"
"EB",7,0,2009,"School bus"
"ICEB-G",8,7,2009,"School bus"
"ICEB-D",8,221,2009,"School bus"
"HEB-G",8,0,2009,"School bus"
"HEB-D",8,0,2009,"School bus"
"CNGB",8,0,2009,"School bus"
"EB",8,0,2009,"School bus"
"ICEB-G",9,10,2009,"School bus"
"ICEB-D",9,338,2009,"School bus"
"HEB-G",9,0,2009,"School bus"
"HEB-D",9,0,2009,"School bus"
"CNGB",9,0,2009,"School bus"
"EB",9,0,2009,"School bus"
"ICEB-G",10,6,2009,"School bus"
"ICEB-D",10,205,2009,"School bus"
"HEB-G",10,0,2009,"School bus"
"HEB-D",10,0,2009,"School bus"
"CNGB",10,0,2009,"School bus"
"EB",10,0,2009,"School bus"
"ICEB-G",11,6,2009,"School bus"
"ICEB-D",11,198,2009,"School bus"
"HEB-G",11,0,2009,"School bus"
"HEB-D",11,0,2009,"School bus"
"CNGB",11,0,2009,"School bus"
"EB",11,0,2009,"School bus"
