"Technology","Age","Value","Year","Mode"
"HEB-D",4,0,2007,"Private bus"
"CNGB",4,0,2007,"Private bus"
"EB",4,0,2007,"Private bus"
"ICEB-G",5,0,2007,"Private bus"
"ICEB-D",5,261,2007,"Private bus"
"HEB-G",5,0,2007,"Private bus"
"HEB-D",5,0,2007,"Private bus"
"CNGB",5,0,2007,"Private bus"
"EB",5,0,2007,"Private bus"
"ICEB-G",6,0,2007,"Private bus"
"ICEB-D",6,341,2007,"Private bus"
"HEB-G",6,0,2007,"Private bus"
"HEB-D",6,0,2007,"Private bus"
"CNGB",6,0,2007,"Private bus"
"EB",6,0,2007,"Private bus"
"ICEB-G",7,0,2007,"Private bus"
"ICEB-D",7,523,2007,"Private bus"
"HEB-G",7,0,2007,"Private bus"
"HEB-D",7,0,2007,"Private bus"
"CNGB",7,0,2007,"Private bus"
"EB",7,0,2007,"Private bus"
"ICEB-G",8,0,2007,"Private bus"
"ICEB-D",8,328,2007,"Private bus"
"HEB-G",8,0,2007,"Private bus"
"HEB-D",8,0,2007,"Private bus"
"CNGB",8,0,2007,"Private bus"
"EB",8,0,2007,"Private bus"
"ICEB-G",9,0,2007,"Private bus"
"ICEB-D",9,312,2007,"Private bus"
"HEB-G",9,0,2007,"Private bus"
"HEB-D",9,0,2007,"Private bus"
"CNGB",9,0,2007,"Private bus"
"EB",9,0,2007,"Private bus"
"ICEB-G",10,0,2007,"Private bus"
"ICEB-D",10,378,2007,"Private bus"
"HEB-G",10,0,2007,"Private bus"
"HEB-D",10,0,2007,"Private bus"
"CNGB",10,0,2007,"Private bus"
"EB",10,0,2007,"Private bus"
"ICEB-G",11,0,2007,"Private bus"
"ICEB-D",11,269,2007,"Private bus"
"HEB-G",11,0,2007,"Private bus"
"HEB-D",11,0,2007,"Private bus"
"CNGB",11,0,2007,"Private bus"
"EB",11,0,2007,"Private bus"
"ICEB-G",12,0,2007,"Private bus"
"ICEB-D",12,427,2007,"Private bus"
"HEB-G",12,0,2007,"Private bus"
"HEB-D",12,0,2007,"Private bus"
"CNGB",12,0,2007,"Private bus"
"EB",12,0,2007,"Private bus"
"ICEB-G",13,0,2007,"Private bus"
"ICEB-D",13,365,2007,"Private bus"
"HEB-G",13,0,2007,"Private bus"
"HEB-D",13,0,2007,"Private bus"
"CNGB",13,0,2007,"Private bus"
"EB",13,0,2007,"Private bus"
"ICEB-G",14,0,2007,"Private bus"
"ICEB-D",14,325,2007,"Private bus"
"HEB-G",14,0,2007,"Private bus"
"HEB-D",14,0,2007,"Private bus"
"CNGB",14,0,2007,"Private bus"
"EB",14,0,2007,"Private bus"
"ICEB-G",15,0,2007,"Private bus"
"ICEB-D",15,257,2007,"Private bus"
"HEB-G",15,0,2007,"Private bus"
"HEB-D",15,0,2007,"Private bus"
"CNGB",15,0,2007,"Private bus"
"EB",15,0,2007,"Private bus"
"ICEB-G",16,0,2007,"Private bus"
"ICEB-D",16,263,2007,"Private bus"
"HEB-G",16,0,2007,"Private bus"
"HEB-D",16,0,2007,"Private bus"
"CNGB",16,0,2007,"Private bus"
"EB",16,0,2007,"Private bus"
"ICEB-G",17,0,2007,"Private bus"
"ICEB-D",17,195,2007,"Private bus"
"HEB-G",17,0,2007,"Private bus"
"HEB-D",17,0,2007,"Private bus"
"CNGB",17,0,2007,"Private bus"
"EB",17,0,2007,"Private bus"
"ICEB-G",18,0,2007,"Private bus"
"ICEB-D",18,120,2007,"Private bus"
"HEB-G",18,0,2007,"Private bus"
"HEB-D",18,0,2007,"Private bus"
"CNGB",18,0,2007,"Private bus"
"EB",18,0,2007,"Private bus"
"ICEB-G",19,0,2007,"Private bus"
"ICEB-D",19,24,2007,"Private bus"
"HEB-G",19,0,2007,"Private bus"
"HEB-D",19,0,2007,"Private bus"
"CNGB",19,0,2007,"Private bus"
"EB",19,0,2007,"Private bus"
"ICEB-G",20,0,2007,"Private bus"
"ICEB-D",20,1,2007,"Private bus"
"HEB-G",20,0,2007,"Private bus"
"HEB-D",20,0,2007,"Private bus"
