"Make","Model","Body","Enginee_cc","MPO_kw","Fuel","Transmission","Turbo_supercharged","Hybrid","fe_urban","fe_xtra_urban","fe_combined","co2_urban","co2_xtra_urban","co2_combined","ves_band"
"AUDI","A7 SB 3.0 TFSI QU S","Hatchback",2995,250,"Petrol-Electric","Sequential","YES","YES","9.6","6.1",7.4,"218","139",168,"C1"
"AUDI","A7 SB 3.0 TFSI QU S","Hatchback",2995,250,"Petrol-Electric","Sequential","YES","YES","9.6","6.1",7.4,"218","139",168,"C1"
"AUDI","A7 SPORTBACK 2.0","Hatchback",1984,180,"Petrol-Electric","Sequential","YES","YES","9","6.3",7.3,"205","144",166,"C1"
"AUDI","A8 3.0 TFSI QU TIP","Sedan",2995,250,"Petrol-Electric","Automatic","YES","YES","10.8","6.6",8.2,"246","151",186,"C2"
"AUDI","A8 3.0 TFSI QU TIP","Sedan",2995,250,"Petrol-Electric","Automatic","YES","YES","10.9","6.8",8.3,"247","154",188,"C2"
"AUDI","A8L 3.0 TFSI QU (PI)","Sedan",2995,228,"Petrol","Automatic","YES","NO","10.6","6.3",7.9,"246","148",184,"C1"
"AUDI","A8L 3.0 TFSI QU TIP","Sedan",2995,250,"Petrol-Electric","Automatic","YES","YES","10.9","6.8",8.3,"247","154",188,"C2"
"AUDI","A8L 3.0 TFSI QU TIP","Sedan",2995,250,"Petrol-Electric","Automatic","YES","YES","10.8","6.6",8.2,"246","151",186,"C2"
"AUDI","A8L 3.0 TFSI QU TIP","Sedan",2995,250,"Petrol-Electric","Automatic","YES","YES","10.9","6.8",8.3,"247","154",188,"C2"
"AUDI","A8L 3.0 TFSI QU TIP","Sedan",2995,250,"Petrol-Electric","Automatic","YES","YES","10.8","6.6",8.2,"246","151",186,"C2"
"AUDI","A8L 3.0 TFSI QU TIP","Sedan",2995,250,"Petrol-Electric","Automatic","YES","YES","10.9","6.8",8.3,"247","154",188,"C2"
"AUDI","A8L 3.0 TFSI QU TIP","Sedan",2995,250,"Petrol-Electric","Automatic","YES","YES","10.9","6.8",8.3,"247","154",188,"C2"
"AUDI","A8L 4.0 TFSI QU (PI)","Sedan",3993,320,"Petrol","Automatic","YES","NO","12.8","7.2",9.2,"299","169",216,"C2"
