Mode,Size,Technology,Fuel,Pollutant,Unit,Euro 1,Euro 2,Euro 3,Euro 4,Euro 5, Euro 6 up to 2016,Euro 6 2017 to 2019,Euro 6 2020+
Coach bus,,ICEB-G,Gasoline,CO,g/km,1.85,1.6,1.91,0.15,0.15,0.15,0.15,0.15
Coach bus,,ICEB-D,Diesel,CO,g/km,1.85,1.6,1.91,0.15,0.15,0.15,0.15,0.15
Coach bus,,EB,Electricity,CO,g/km,0,0,0,0,0,0,0,0
Motorcycle,2-stroke < 50 cm3,ICEM-G,Gasoline,NOx,g/km,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17
Motorcycle,4-stroke <50 cm3,ICEM-G,Gasoline,NOx,g/km,0.22,0.17,0.17,0.17,0.17,0.17,0.17,0.17
Motorcycle,2-strole >50 cm3,ICEM-G,Gasoline,NOx,g/km,0.028,0.104,0.28,0.28,0.28,0.28,0.28,0.28
Motorcycle,4-stroke <250 cm3,ICEM-G,Gasoline,NOx,g/km,0.445,0.317,0.194,0.194,0.194,0.194,0.194,0.194
Motorcycle,4-stroke 250-750 cm3,ICEM-G,Gasoline,NOx,g/km,0.477,0.317,0.194,0.194,0.194,0.194,0.194,0.194
Motorcycle,4-stroke > 750 cm3,ICEM-G,Gasoline,NOx,g/km,0.579,0.317,0.194,0.194,0.194,0.194,0.194,0.194
Motorcycle,/,EM,Electricity,NOx,g/km,0,0,0,0,0,0,0,0
Motorcycle,2-stroke < 50 cm3,ICEM-G,Gasoline,PM,g/km,0.045,0.026,0.018,0.018,0.018,0.018,0.018,0.018
Motorcycle,4-stroke <50 cm3,ICEM-G,Gasoline,PM,g/km,0.04,0.007,0.004,0.004,0.004,0.004,0.004,0.004
Motorcycle,2-strole >50 cm3,ICEM-G,Gasoline,PM,g/km,0.064,0.032,0.0096,0.0096,0.0096,0.0096,0.0096,0.0096
Motorcycle,4-stroke <250 cm3,ICEM-G,Gasoline,PM,g/km,0.014,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035
Motorcycle,4-stroke 250-750 cm3,ICEM-G,Gasoline,PM,g/km,0.014,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035
Motorcycle,4-stroke > 750 cm3,ICEM-G,Gasoline,PM,g/km,0.014,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035
Motorcycle,/,EM,Electricity,PM,g/km,0,0,0,0,0,0,0,0
Motorcycle,2-stroke < 50 cm3,ICEM-G,Gasoline,NMVOC,g/km,3.18,2.56,1.78,1.78,1.78,1.78,1.78,1.78
Motorcycle,4-stroke <50 cm3,ICEM-G,Gasoline,NMVOC,g/km,0.74,0.77,0.52,0.52,0.52,0.52,0.52,0.52
Motorcycle,2-strole >50 cm3,ICEM-G,Gasoline,NMVOC,g/km,5.82,1.84,0.806,0.806,0.806,0.806,0.806,0.806
Motorcycle,4-stroke <250 cm3,ICEM-G,Gasoline,NMVOC,g/km,1.08,0.839,0.465,0.465,0.465,0.465,0.465,0.465
Motorcycle,4-stroke 250-750 cm3,ICEM-G,Gasoline,NMVOC,g/km,1.19,0.918,0.541,0.541,0.541,0.541,0.541,0.541
Motorcycle,4-stroke > 750 cm3,ICEM-G,Gasoline,NMVOC,g/km,1.5,0.994,0.587,0.587,0.587,0.587,0.587,0.587
Motorcycle,/,EM,Electricity,NMVOC,g/km,0,0,0,0,0,0,0,0
Motorcycle,2-stroke < 50 cm3,ICEM-G,Gasoline,CO,g/km,4.6,2.8,1.8,1.8,1.8,1.8,1.8,1.8
Motorcycle,4-stroke <50 cm3,ICEM-G,Gasoline,CO,g/km,6.7,4.2,2.7,2.7,2.7,2.7,2.7,2.7
Motorcycle,2-strole >50 cm3,ICEM-G,Gasoline,CO,g/km,16.3,11.2,2.73,2.73,2.73,2.73,2.73,2.73
Motorcycle,4-stroke <250 cm3,ICEM-G,Gasoline,CO,g/km,13.6,7.17,3.03,3.03,3.03,3.03,3.03,3.03
Motorcycle,4-stroke 250-750 cm3,ICEM-G,Gasoline,CO,g/km,134.8,7.17,3.03,3.03,3.03,3.03,3.03,3.03
Motorcycle,4-stroke > 750 cm3,ICEM-G,Gasoline,CO,g/km,10.1,7.17,3.03,3.03,3.03,3.03,3.03,3.03
Motorcycle,/,EM,Electricity,CO,g/km,0,0,0,0,0,0,0,0
