Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Singapore,SGP,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.40453339,,,98.96240997,,
Singapore,SGP,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.27463531,,,96.37825012,,
Singapore,SGP,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,,,,33.67746529,37.92196405,37.27041158,37.48063401,35.77930816,38.28704977,41.80032669,45.31151668,44.87799247,50.25113523,59.08268883,53.31452531,56.00675956,57.34033619,58.17210087,60.19392062,64.58952188,68.90713424,75.34264628,80.12077266,85.60880761,85.32868125,87.60535255,84.35001846,80.57607658,76.35269303,79.54035737,79.16467472,79.87110213,81.08553677,80.97170126,81.19024054,88.29349696,93.74180643,96.47030493,107.9310737,102.7073041,96.05246317,115.0239673,102.0242236,104.7828006,95.72896576,89.2233562,84.287056,85.3517596,97.86436233,96.86137655,94.8584027,104.7036738,112.9735432,124.0659516,128.1297633,122.4213538,124.0998189,122.7186498,121.9004855,
Singapore,SGP,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,7.155571378,11.54464416,16.55717925,18.23382195,16.57035806,19.24663184,19.05024305,19.78126648,15.7289427,19.7174277,24.7989534,20.41086709,22.20166512,28.03364571,28.36142162,29.81338685,32.87892835,41.18347404,66.53597786,59.41226325,75.64506805,79.1485344,73.7443347,74.51452215,73.61222406,65.45291893,59.9949436,58.61207536,59.90746447,58.4360376,56.76188764,55.70501282,59.16442839,63.61009065,69.45240421,85.08875072,82.4156852,76.45847069,89.89306687,73.21115933,78.76948869,70.91455669,60.97445974,61.21474194,68.23521732,75.50404904,85.63555593,79.61145036,87.05402514,93.25914085,109.1080813,123.4728144,115.0522348,126.1907059,134.7806307,136.6011265,
Singapore,SGP,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,SGP,"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,,,,-26.52189391,-26.37731989,-20.71323234,-19.24681206,-19.2089501,-19.04041793,-22.75008364,-25.5302502,-29.14904977,-30.53370753,-34.28373543,-32.90365821,-33.80509444,-29.30669048,-29.81067926,-30.38053377,-31.71059353,-27.7236602,-8.806668424,-20.70850941,-9.963739555,-6.180146847,-13.86101785,-9.835496311,-6.963852512,-10.89977411,-19.54541377,-20.55259936,-19.96363766,-22.64949918,-24.20981362,-25.48522772,-29.12906857,-30.13171578,-27.01790072,-22.84232294,-20.29161895,-19.59399248,-25.13090047,-28.81306424,-26.01331194,-24.81440908,-28.24889645,-23.07231405,-17.11654228,-22.36031329,-11.22582062,-15.24695234,-17.6496487,-19.71440232,-14.95787022,-4.65694894,-7.369119088,2.090886995,12.06198087,14.70064101,
Singapore,SGP,"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,,,,,,,,,,,,,,,,,,,3.760833334,3.4525,4.809166667,7.639166667,7.06,6.396666668,6.826666667,5.157500001,4.429166667,3.306666667,2.275833333,2.06,4.0775,4.39,4.203333333,4.475,3.9225,5.255,4.863333333,4.1025,5.339166667,4.686666667,3.62,3.986666667,4.5325,4.66,4.336666667,3.2375,2.354166667,2.975833333,4.47,5.044166667,5.045,5.0925,5.105833333,5.12875,,,,,,
Singapore,SGP,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,3.006777601,3.104924269,0.535033129,7.338547787,5.448153427,5.698998573,8.861263968,9.671461732,8.175094722,5.537963777,0.506176869,1.970429513,2.545570973,3.014365759,4.502178325,1.870545535,2.336514453,3.119200146,4.683159158,5.184799143,8.883830342,9.731646892,1.897403619,7.602584835,6.290363677,7.223124117,1.178439128,3.329065876,3.404016104,-0.553498128,6.86123945,2.349362847,4.230749,4.206908897,4.874452018,5.83360587,5.596785657,2.126477686,4.529159597,2.658364973,3.357509824,
Singapore,SGP,"Interest rate spread (lending rate minus deposit rate, %)",FR.INR.LNDP,,,,,,,,,,,,,,,,,,,2.421666667,2.3025,2.353333333,2.935,3.013333334,2.736666667,2.744166667,3.070833333,2.909166667,3.214166667,3.226666667,2.999166667,2.690833333,2.953333333,3.083333333,3.0875,2.876666667,2.865,2.85,2.850833333,2.8375,4.116666667,4.121666667,4.128333333,4.476666667,4.804166667,4.896666667,4.859166667,4.7425,4.800833333,4.960833333,5.0875,5.174166667,5.211666667,5.244166667,5.24,5.205833333,5.183333333,5.16,5.138333333,5.173333333,
Singapore,SGP,Lending interest rate (%),FR.INR.LEND,,,,,,,,,,,,,,,,,,,7.17,8.503333333,11.72166667,13.645,10.22833333,9.050833333,9.719166667,8.064166667,6.82,6.1,5.964166667,6.211666667,7.3625,7.583333333,5.9525,5.388333333,5.878333333,6.369166667,6.26,6.3225,7.441666667,5.8,5.833333333,5.648333333,5.345833333,5.306666667,5.3,5.3,5.3125,5.33,5.38,5.38,5.38,5.38,5.38,5.38,5.35,5.35,5.35,5.28,5.33,
