source,year,category,type,number
data.gov,2014,Buses,Excursion buses,5554
data.gov,2005,Tax Exempted Vehicles,Cars & Station-wagons,2389
data.gov,2006,Tax Exempted Vehicles,Cars & Station-wagons,2409
data.gov,2007,Tax Exempted Vehicles,Cars & Station-wagons,2356
data.gov,2008,Tax Exempted Vehicles,Cars & Station-wagons,2391
data.gov,2009,Tax Exempted Vehicles,Cars & Station-wagons,2383
data.gov,2010,Tax Exempted Vehicles,Cars & Station-wagons,2561
data.gov,2011,Tax Exempted Vehicles,Cars & Station-wagons,2557
data.gov,2012,Tax Exempted Vehicles,Cars & Station-wagons,2441
data.gov,2013,Tax Exempted Vehicles,Cars & Station-wagons,2343
data.gov,2014,Tax Exempted Vehicles,Cars & Station-wagons,2414
data.gov,2005,Tax Exempted Vehicles,Motorcycles,846
data.gov,2006,Tax Exempted Vehicles,Motorcycles,855
data.gov,2007,Tax Exempted Vehicles,Motorcycles,858
data.gov,2008,Tax Exempted Vehicles,Motorcycles,832
data.gov,2009,Tax Exempted Vehicles,Motorcycles,878
data.gov,2010,Tax Exempted Vehicles,Motorcycles,878
data.gov,2011,Tax Exempted Vehicles,Motorcycles,879
data.gov,2012,Tax Exempted Vehicles,Motorcycles,824
data.gov,2013,Tax Exempted Vehicles,Motorcycles,627
data.gov,2014,Tax Exempted Vehicles,Motorcycles,622
data.gov,2005,Tax Exempted Vehicles,Buses,274
data.gov,2006,Tax Exempted Vehicles,Buses,289
data.gov,2007,Tax Exempted Vehicles,Buses,338
data.gov,2008,Tax Exempted Vehicles,Buses,351
data.gov,2009,Tax Exempted Vehicles,Buses,364
data.gov,2010,Tax Exempted Vehicles,Buses,373
data.gov,2011,Tax Exempted Vehicles,Buses,394
data.gov,2012,Tax Exempted Vehicles,Buses,394
data.gov,2013,Tax Exempted Vehicles,Buses,444
data.gov,2014,Tax Exempted Vehicles,Buses,445
data.gov,2005,Tax Exempted Vehicles,Goods & Other Vehicles,10905
data.gov,2006,Tax Exempted Vehicles,Goods & Other Vehicles,11625
data.gov,2007,Tax Exempted Vehicles,Goods & Other Vehicles,12375
data.gov,2008,Tax Exempted Vehicles,Goods & Other Vehicles,13123
data.gov,2009,Tax Exempted Vehicles,Goods & Other Vehicles,13405
data.gov,2010,Tax Exempted Vehicles,Goods & Other Vehicles,13928
data.gov,2011,Tax Exempted Vehicles,Goods & Other Vehicles,14610
data.gov,2012,Tax Exempted Vehicles,Goods & Other Vehicles,15371
data.gov,2013,Tax Exempted Vehicles,Goods & Other Vehicles,16142
data.gov,2014,Tax Exempted Vehicles,Goods & Other Vehicles,17191
data.gov,2015,Cars & Station-wagons,Private cars,519645
data.gov,2015,Cars & Station-wagons,Company cars,21987
data.gov,2015,Cars & Station-wagons,Tuition cars,841
data.gov,2015,Cars & Station-wagons,Rental cars,29369
data.gov,2015,Cars & Station-wagons,Off peak cars,30469
data.gov,2015,Taxis,Taxis,28259
data.gov,2015,Motorcycles,Motorcycles,143279
data.gov,2015,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),2997
data.gov,2015,Goods & Other Vehicles,Light Goods Vehicles (LGVs),94016
data.gov,2015,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),30155
data.gov,2015,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),16804
data.gov,2015,Buses,Omnibuses,5120
data.gov,2015,Buses,School buses (CB),1847
data.gov,2015,Buses,Private buses,2717
data.gov,2015,Buses,Private hire buses,1909
data.gov,2015,Buses,Excursion buses,6147
data.gov,2015,Tax Exempted Vehicles,Cars & Station-wagons,2411
data.gov,2015,Tax Exempted Vehicles,Motorcycles,621
data.gov,2015,Tax Exempted Vehicles,Buses,443
data.gov,2015,Tax Exempted Vehicles,Goods & Other Vehicles,18210
data.gov,2016,Cars & Station-wagons,Private cars,504160
data.gov,2016,Cars & Station-wagons,Company cars,22382
data.gov,2016,Cars & Station-wagons,Tuition cars,817
data.gov,2016,Cars & Station-wagons,Rental cars,51336
data.gov,2016,Cars & Station-wagons,Off peak cars,22562
data.gov,2016,Taxis,Taxis,27534
data.gov,2016,Motorcycles,Motorcycles,142439
data.gov,2016,Goods & Other Vehicles,Goods-cum-passenger vehicles (GPVs),2992
data.gov,2016,Goods & Other Vehicles,Light Goods Vehicles (LGVs),95750
data.gov,2016,Goods & Other Vehicles,Heavy Goods Vehicles (HGVs),28817
data.gov,2016,Goods & Other Vehicles,Very Heavy Goods Vehicles (VHGVs),16407
data.gov,2016,Buses,Omnibuses,5470
data.gov,2016,Buses,School buses (CB),1840
data.gov,2016,Buses,Private buses,2659
data.gov,2016,Buses,Private hire buses,1598
data.gov,2016,Buses,Excursion buses,6771
data.gov,2016,Tax Exempted Vehicles,Cars & Station-wagons,2506
data.gov,2016,Tax Exempted Vehicles,Motorcycles,613
data.gov,2016,Tax Exempted Vehicles,Buses,466
data.gov,2016,Tax Exempted Vehicles,Goods & Other Vehicles,19311
data.gov,2017,Cars and Station-wagons,Private cars,502187
data.gov,2017,Cars and Station-wagons,Company cars,24196
data.gov,2017,Cars and Station-wagons,Tuition cars,843
data.gov,2017,Cars and Station-wagons,Rental cars,68083
data.gov,2017,Cars and Station-wagons,Off peak cars,16947
data.gov,2017,Taxis,Taxis,23140
data.gov,2017,Motorcycles and Scooters,Motorcycles and Scooters,141304
data.gov,2017,Goods and Other Vehicles,Goods-cum-passenger vehicles (GPVs),2972
data.gov,2017,Goods and Other Vehicles,Light Goods Vehicles (LGVs),94724
data.gov,2017,Goods and Other Vehicles,Heavy Goods Vehicles (HGVs),28641
data.gov,2017,Goods and Other Vehicles,Very Heavy Goods Vehicles (VHGVs),16520
data.gov,2017,Buses,Omnibuses,5665
data.gov,2017,Buses,School buses (CB),1844
data.gov,2017,Buses,Private buses,2533
data.gov,2017,Buses,Private hire buses,1255
data.gov,2017,Buses,Excursion buses,7517
data.gov,2017,Tax Exempted Vehicles,Cars and Station-wagons,2533
data.gov,2017,Tax Exempted Vehicles,Motorcycles and scooters,612
data.gov,2017,Tax Exempted Vehicles,Buses,471
data.gov,2017,Tax Exempted Vehicles,Goods and Other Vehicles,19855
Singstat,2018,Cars and Station-wagons,Private cars,615452
Singstat,2018,Taxis,Taxis,20581
Singstat,2018,Motorcycles and Scooters,Motorcycles and Scooters,137480
Singstat,2018,Buses,Omnibuses,5835
Singstat,2018,Buses,School buses (CB),1899
Singstat,2018,Buses,Private buses,2609
Singstat,2018,Buses,Private hire buses,1292
Singstat,2018,Buses,Excursion buses,7742
