"Technology","Age","Value","Year","Mode","Scenario"
"PHEV",0,57,2015,"Private car","Default"
"BEV",0,0,2015,"Private car","Default"
"ICEV-G",0,58469,2016,"Private car","Default"
"ICEV-D",0,3823,2016,"Private car","Default"
"HEV-G",0,3247,2016,"Private car","Default"
"CNG",0,0,2016,"Private car","Default"
"PHEV",0,12,2016,"Private car","Default"
"BEV",0,10,2016,"Private car","Default"
"ICEV-G",0,59203,2017,"Private car","Default"
"ICEV-D",0,4368,2017,"Private car","Default"
"HEV-G",0,9822,2017,"Private car","Default"
"CNG",0,0,2017,"Private car","Default"
"PHEV",0,69,2017,"Private car","Default"
"BEV",0,269,2017,"Private car","Default"
"ICEV-G",0,66621,2018,"Private car","Default"
"ICEV-D",0,1954,2018,"Private car","Default"
"HEV-G",0,6621,2018,"Private car","Default"
"CNG",0,0,2018,"Private car","Default"
"PHEV",0,160,2018,"Private car","Default"
"BEV",0,221,2018,"Private car","Default"
"ICEV-G",0,49756,2019,"Private car","Default"
"ICEV-D",0,994,2019,"Private car","Default"
"HEV-G",0,7834,2019,"Private car","Default"
"CNG",0,0,2019,"Private car","Default"
"PHEV",0,84,2019,"Private car","Default"
"BEV",0,484,2019,"Private car","Default"
"ICEV-G",0,48059,2020,"Private car","Default"
"ICEV-D",0,960,2020,"Private car","Default"
"HEV-G",0,7567,2020,"Private car","Default"
"CNG",0,0,2020,"Private car","Default"
"PHEV",0,81,2020,"Private car","Default"
"BEV",0,467,2020,"Private car","Default"
"ICEV-G",0,50070,2021,"Private car","Default"
"ICEV-D",0,1000,2021,"Private car","Default"
"HEV-G",0,7883,2021,"Private car","Default"
"CNG",0,0,2021,"Private car","Default"
"PHEV",0,85,2021,"Private car","Default"
"BEV",0,487,2021,"Private car","Default"
"ICEV-G",0,49691,2022,"Private car","Default"
"ICEV-D",0,993,2022,"Private car","Default"
"HEV-G",0,7824,2022,"Private car","Default"
"CNG",0,0,2022,"Private car","Default"
"PHEV",0,84,2022,"Private car","Default"
"BEV",0,483,2022,"Private car","Default"
"ICEV-G",0,46142,2023,"Private car","Default"
"ICEV-D",0,922,2023,"Private car","Default"
"HEV-G",0,7265,2023,"Private car","Default"
"CNG",0,0,2023,"Private car","Default"
"PHEV",0,78,2023,"Private car","Default"
"BEV",0,449,2023,"Private car","Default"
"ICEV-G",0,43608,2024,"Private car","Default"
"ICEV-D",0,871,2024,"Private car","Default"
"HEV-G",0,6866,2024,"Private car","Default"
"CNG",0,0,2024,"Private car","Default"
"PHEV",0,74,2024,"Private car","Default"
"BEV",0,424,2024,"Private car","Default"
"ICEV-G",0,43574,2025,"Private car","Default"
"ICEV-D",0,871,2025,"Private car","Default"
"HEV-G",0,6861,2025,"Private car","Default"
"CNG",0,0,2025,"Private car","Default"
"PHEV",0,74,2025,"Private car","Default"
"BEV",0,424,2025,"Private car","Default"
"ICEV-G",0,48059,2026,"Private car","Default"
"ICEV-D",0,960,2026,"Private car","Default"
"HEV-G",0,7567,2026,"Private car","Default"
"CNG",0,0,2026,"Private car","Default"
"PHEV",0,81,2026,"Private car","Default"
"BEV",0,467,2026,"Private car","Default"
"ICEV-G",0,52416,2027,"Private car","Default"
"ICEV-D",0,1047,2027,"Private car","Default"
"HEV-G",0,8253,2027,"Private car","Default"
"CNG",0,0,2027,"Private car","Default"
"PHEV",0,88,2027,"Private car","Default"
"BEV",0,510,2027,"Private car","Default"
"ICEV-G",0,51856,2028,"Private car","Default"
"ICEV-D",0,1036,2028,"Private car","Default"
"HEV-G",0,8165,2028,"Private car","Default"
"CNG",0,0,2028,"Private car","Default"
"PHEV",0,88,2028,"Private car","Default"
"BEV",0,504,2028,"Private car","Default"
"ICEV-G",0,49328,2029,"Private car","Default"
"ICEV-D",0,985,2029,"Private car","Default"
"HEV-G",0,7767,2029,"Private car","Default"
"CNG",0,0,2029,"Private car","Default"
"PHEV",0,83,2029,"Private car","Default"
"BEV",0,480,2029,"Private car","Default"
"ICEV-G",0,50559,2030,"Private car","Default"
"ICEV-D",0,1010,2030,"Private car","Default"
"HEV-G",0,7960,2030,"Private car","Default"
"CNG",0,0,2030,"Private car","Default"
"PHEV",0,85,2030,"Private car","Default"
"BEV",0,492,2030,"Private car","Default"
"ICEV-G",0,50356,2031,"Private car","Default"
"ICEV-D",0,1006,2031,"Private car","Default"
"HEV-G",0,7928,2031,"Private car","Default"
"CNG",0,0,2031,"Private car","Default"
"PHEV",0,85,2031,"Private car","Default"
"BEV",0,490,2031,"Private car","Default"
"ICEV-G",0,49990,2032,"Private car","Default"
"ICEV-D",0,999,2032,"Private car","Default"
"HEV-G",0,7871,2032,"Private car","Default"
"CNG",0,0,2032,"Private car","Default"
"PHEV",0,84,2032,"Private car","Default"
"BEV",0,486,2032,"Private car","Default"
"ICEV-G",0,48330,2033,"Private car","Default"
"ICEV-D",0,966,2033,"Private car","Default"
"HEV-G",0,7610,2033,"Private car","Default"
"CNG",0,0,2033,"Private car","Default"
"PHEV",0,82,2033,"Private car","Default"
"BEV",0,470,2033,"Private car","Default"
"ICEV-G",0,46464,2034,"Private car","Default"
"ICEV-D",0,928,2034,"Private car","Default"
"HEV-G",0,7316,2034,"Private car","Default"
"CNG",0,0,2034,"Private car","Default"
"PHEV",0,78,2034,"Private car","Default"
"BEV",0,452,2034,"Private car","Default"
"ICEV-G",0,46686,2035,"Private car","Default"
"ICEV-D",0,933,2035,"Private car","Default"
"HEV-G",0,7351,2035,"Private car","Default"
"CNG",0,0,2035,"Private car","Default"
"PHEV",0,79,2035,"Private car","Default"
"BEV",0,454,2035,"Private car","Default"
"ICEV-G",0,48756,2036,"Private car","Default"
"ICEV-D",0,974,2036,"Private car","Default"
"HEV-G",0,7677,2036,"Private car","Default"
"CNG",0,0,2036,"Private car","Default"
"PHEV",0,82,2036,"Private car","Default"
"BEV",0,474,2036,"Private car","Default"
"ICEV-G",0,50299,2037,"Private car","Default"
"ICEV-D",0,1005,2037,"Private car","Default"
"HEV-G",0,7919,2037,"Private car","Default"
"CNG",0,0,2037,"Private car","Default"
"PHEV",0,85,2037,"Private car","Default"
"BEV",0,489,2037,"Private car","Default"
"ICEV-G",0,49711,2038,"Private car","Default"
"ICEV-D",0,993,2038,"Private car","Default"
"HEV-G",0,7827,2038,"Private car","Default"
"CNG",0,0,2038,"Private car","Default"
"PHEV",0,84,2038,"Private car","Default"
"BEV",0,484,2038,"Private car","Default"
"ICEV-G",0,48753,2039,"Private car","Default"
"ICEV-D",0,974,2039,"Private car","Default"
"HEV-G",0,7676,2039,"Private car","Default"
"CNG",0,0,2039,"Private car","Default"
"PHEV",0,82,2039,"Private car","Default"
"BEV",0,474,2039,"Private car","Default"
"ICEV-G",0,49026,2040,"Private car","Default"
"ICEV-D",0,979,2040,"Private car","Default"
"HEV-G",0,7719,2040,"Private car","Default"
"CNG",0,0,2040,"Private car","Default"
"PHEV",0,83,2040,"Private car","Default"
"BEV",0,477,2040,"Private car","Default"
"ICEV-G",0,49464,2041,"Private car","Default"
"ICEV-D",0,988,2041,"Private car","Default"
"HEV-G",0,7788,2041,"Private car","Default"
"CNG",0,0,2041,"Private car","Default"
"PHEV",0,84,2041,"Private car","Default"
"BEV",0,481,2041,"Private car","Default"
"ICEV-G",0,49717,2042,"Private car","Default"
"ICEV-D",0,993,2042,"Private car","Default"
"HEV-G",0,7828,2042,"Private car","Default"
"CNG",0,0,2042,"Private car","Default"
"PHEV",0,84,2042,"Private car","Default"
"BEV",0,484,2042,"Private car","Default"
"ICEV-G",0,49081,2043,"Private car","Default"
"ICEV-D",0,981,2043,"Private car","Default"
"HEV-G",0,7728,2043,"Private car","Default"
"CNG",0,0,2043,"Private car","Default"
"PHEV",0,83,2043,"Private car","Default"
"BEV",0,477,2043,"Private car","Default"
"ICEV-G",0,48197,2044,"Private car","Default"
"ICEV-D",0,963,2044,"Private car","Default"
"HEV-G",0,7589,2044,"Private car","Default"
"CNG",0,0,2044,"Private car","Default"
"PHEV",0,81,2044,"Private car","Default"
"BEV",0,469,2044,"Private car","Default"
"ICEV-G",0,48272,2045,"Private car","Default"
"ICEV-D",0,964,2045,"Private car","Default"
"HEV-G",0,7600,2045,"Private car","Default"
"CNG",0,0,2045,"Private car","Default"
"PHEV",0,81,2045,"Private car","Default"
"BEV",0,470,2045,"Private car","Default"
"ICEV-G",0,48927,2046,"Private car","Default"
"ICEV-D",0,977,2046,"Private car","Default"
"HEV-G",0,7704,2046,"Private car","Default"
"CNG",0,0,2046,"Private car","Default"
"PHEV",0,83,2046,"Private car","Default"
"BEV",0,476,2046,"Private car","Default"
"ICEV-G",0,49414,2047,"Private car","Default"
"ICEV-D",0,987,2047,"Private car","Default"
"HEV-G",0,7780,2047,"Private car","Default"
"CNG",0,0,2047,"Private car","Default"
"PHEV",0,83,2047,"Private car","Default"
"BEV",0,481,2047,"Private car","Default"
"ICEV-G",0,49117,2048,"Private car","Default"
"ICEV-D",0,981,2048,"Private car","Default"
"HEV-G",0,7733,2048,"Private car","Default"
"CNG",0,0,2048,"Private car","Default"
"PHEV",0,83,2048,"Private car","Default"
"BEV",0,478,2048,"Private car","Default"
"ICEV-G",0,48700,2049,"Private car","Default"
"ICEV-D",0,973,2049,"Private car","Default"
"HEV-G",0,7668,2049,"Private car","Default"
"CNG",0,0,2049,"Private car","Default"
"PHEV",0,82,2049,"Private car","Default"
"BEV",0,474,2049,"Private car","Default"
"ICEV-G",0,48843,2050,"Private car","Default"
"ICEV-D",0,976,2050,"Private car","Default"
"HEV-G",0,7690,2050,"Private car","Default"
"CNG",0,0,2050,"Private car","Default"
"PHEV",0,82,2050,"Private car","Default"
"BEV",0,475,2050,"Private car","Default"
"ICEV-G",0,2132,2005,"Private hire car","Default"
"ICEV-D",0,0,2005,"Private hire car","Default"
"HEV-G",0,6,2005,"Private hire car","Default"
"CNG",0,4,2005,"Private hire car","Default"
"PHEV",0,0,2005,"Private hire car","Default"
"BEV",0,0,2005,"Private hire car","Default"
"ICEV-G",0,2328,2006,"Private hire car","Default"
"ICEV-D",0,0,2006,"Private hire car","Default"
"HEV-G",0,1,2006,"Private hire car","Default"
"CNG",0,0,2006,"Private hire car","Default"
"PHEV",0,0,2006,"Private hire car","Default"
"BEV",0,0,2006,"Private hire car","Default"
"ICEV-G",0,3057,2007,"Private hire car","Default"
"ICEV-D",0,0,2007,"Private hire car","Default"
"HEV-G",0,16,2007,"Private hire car","Default"
"CNG",0,1,2007,"Private hire car","Default"
"PHEV",0,0,2007,"Private hire car","Default"
"BEV",0,0,2007,"Private hire car","Default"
"ICEV-G",0,2459,2008,"Private hire car","Default"
"ICEV-D",0,0,2008,"Private hire car","Default"
"HEV-G",0,22,2008,"Private hire car","Default"
"CNG",0,50,2008,"Private hire car","Default"
"PHEV",0,0,2008,"Private hire car","Default"
"BEV",0,0,2008,"Private hire car","Default"
"ICEV-G",0,1176,2009,"Private hire car","Default"
"ICEV-D",0,1,2009,"Private hire car","Default"
"HEV-G",0,14,2009,"Private hire car","Default"
"CNG",0,4,2009,"Private hire car","Default"
"PHEV",0,0,2009,"Private hire car","Default"
"BEV",0,0,2009,"Private hire car","Default"
"ICEV-G",0,1033,2010,"Private hire car","Default"
"ICEV-D",0,2,2010,"Private hire car","Default"
"HEV-G",0,16,2010,"Private hire car","Default"
"CNG",0,2,2010,"Private hire car","Default"
"PHEV",0,0,2010,"Private hire car","Default"
"BEV",0,0,2010,"Private hire car","Default"
"ICEV-G",0,935,2011,"Private hire car","Default"
"ICEV-D",0,5,2011,"Private hire car","Default"
"HEV-G",0,13,2011,"Private hire car","Default"
"CNG",0,0,2011,"Private hire car","Default"
"PHEV",0,0,2011,"Private hire car","Default"
"BEV",0,0,2011,"Private hire car","Default"
"ICEV-G",0,1186,2012,"Private hire car","Default"
"ICEV-D",0,8,2012,"Private hire car","Default"
"HEV-G",0,26,2012,"Private hire car","Default"
"CNG",0,0,2012,"Private hire car","Default"
"PHEV",0,0,2012,"Private hire car","Default"
"BEV",0,0,2012,"Private hire car","Default"
"ICEV-G",0,1854,2013,"Private hire car","Default"
"ICEV-D",0,21,2013,"Private hire car","Default"
"HEV-G",0,20,2013,"Private hire car","Default"
"CNG",0,0,2013,"Private hire car","Default"
"PHEV",0,0,2013,"Private hire car","Default"
"BEV",0,0,2013,"Private hire car","Default"
"ICEV-G",0,2998,2014,"Private hire car","Default"
"ICEV-D",0,61,2014,"Private hire car","Default"
"HEV-G",0,44,2014,"Private hire car","Default"
"CNG",0,5,2014,"Private hire car","Default"
"PHEV",0,1,2014,"Private hire car","Default"
"BEV",0,0,2014,"Private hire car","Default"
"ICEV-G",0,11567,2015,"Private hire car","Default"
"ICEV-D",0,193,2015,"Private hire car","Default"
"HEV-G",0,139,2015,"Private hire car","Default"
"CNG",0,33,2015,"Private hire car","Default"
"PHEV",0,4,2015,"Private hire car","Default"
"BEV",0,0,2015,"Private hire car","Default"
"ICEV-G",0,22608,2016,"Private hire car","Default"
"ICEV-D",0,594,2016,"Private hire car","Default"
"HEV-G",0,552,2016,"Private hire car","Default"
"CNG",0,50,2016,"Private hire car","Default"
"PHEV",0,6,2016,"Private hire car","Default"
"BEV",0,1,2016,"Private hire car","Default"
"ICEV-G",0,16779,2017,"Private hire car","Default"
"ICEV-D",0,840,2017,"Private hire car","Default"
"HEV-G",0,1462,2017,"Private hire car","Default"
"CNG",0,0,2017,"Private hire car","Default"
"PHEV",0,12,2017,"Private hire car","Default"
"BEV",0,34,2017,"Private hire car","Default"
"ICEV-G",0,1900,2018,"Private hire car","Default"
"ICEV-D",0,475,2018,"Private hire car","Default"
"HEV-G",0,1888,2018,"Private hire car","Default"
"CNG",0,0,2018,"Private hire car","Default"
"PHEV",0,51,2018,"Private hire car","Default"
"BEV",0,70,2018,"Private hire car","Default"
"ICEV-G",0,11269,2019,"Private hire car","Default"
"ICEV-D",0,368,2019,"Private hire car","Default"
"HEV-G",0,1452,2019,"Private hire car","Default"
"CNG",0,0,2019,"Private hire car","Default"
"PHEV",0,7,2019,"Private hire car","Default"
"BEV",0,67,2019,"Private hire car","Default"
"ICEV-G",0,4402,2020,"Private hire car","Default"
"ICEV-D",0,144,2020,"Private hire car","Default"
"HEV-G",0,567,2020,"Private hire car","Default"
"CNG",0,0,2020,"Private hire car","Default"
"PHEV",0,3,2020,"Private hire car","Default"
"BEV",0,26,2020,"Private hire car","Default"
"ICEV-G",0,5651,2021,"Private hire car","Default"
"ICEV-D",0,185,2021,"Private hire car","Default"
"HEV-G",0,728,2021,"Private hire car","Default"
"CNG",0,0,2021,"Private hire car","Default"
"PHEV",0,4,2021,"Private hire car","Default"
"BEV",0,34,2021,"Private hire car","Default"
"ICEV-G",0,5713,2022,"Private hire car","Default"
"ICEV-D",0,187,2022,"Private hire car","Default"
"HEV-G",0,736,2022,"Private hire car","Default"
"CNG",0,0,2022,"Private hire car","Default"
"PHEV",0,4,2022,"Private hire car","Default"
"BEV",0,34,2022,"Private hire car","Default"
"ICEV-G",0,5235,2023,"Private hire car","Default"
"ICEV-D",0,171,2023,"Private hire car","Default"
"HEV-G",0,675,2023,"Private hire car","Default"
"CNG",0,0,2023,"Private hire car","Default"
"PHEV",0,3,2023,"Private hire car","Default"
"BEV",0,31,2023,"Private hire car","Default"
"ICEV-G",0,5304,2024,"Private hire car","Default"
"ICEV-D",0,173,2024,"Private hire car","Default"
"HEV-G",0,683,2024,"Private hire car","Default"
"CNG",0,0,2024,"Private hire car","Default"
"PHEV",0,3,2024,"Private hire car","Default"
"BEV",0,32,2024,"Private hire car","Default"
"ICEV-G",0,7701,2025,"Private hire car","Default"
"ICEV-D",0,251,2025,"Private hire car","Default"
"HEV-G",0,992,2025,"Private hire car","Default"
"CNG",0,0,2025,"Private hire car","Default"
"PHEV",0,5,2025,"Private hire car","Default"
"BEV",0,46,2025,"Private hire car","Default"
"ICEV-G",0,10637,2026,"Private hire car","Default"
"ICEV-D",0,347,2026,"Private hire car","Default"
"HEV-G",0,1371,2026,"Private hire car","Default"
"CNG",0,0,2026,"Private hire car","Default"
"PHEV",0,7,2026,"Private hire car","Default"
"BEV",0,63,2026,"Private hire car","Default"
"ICEV-G",0,8933,2027,"Private hire car","Default"
"ICEV-D",0,292,2027,"Private hire car","Default"
"HEV-G",0,1151,2027,"Private hire car","Default"
"CNG",0,0,2027,"Private hire car","Default"
"PHEV",0,6,2027,"Private hire car","Default"
"BEV",0,53,2027,"Private hire car","Default"
"ICEV-G",0,5869,2028,"Private hire car","Default"
"ICEV-D",0,192,2028,"Private hire car","Default"
"HEV-G",0,756,2028,"Private hire car","Default"
"CNG",0,0,2028,"Private hire car","Default"
"PHEV",0,4,2028,"Private hire car","Default"
"BEV",0,35,2028,"Private hire car","Default"
"ICEV-G",0,8994,2029,"Private hire car","Default"
"ICEV-D",0,294,2029,"Private hire car","Default"
"HEV-G",0,1159,2029,"Private hire car","Default"
"CNG",0,0,2029,"Private hire car","Default"
"PHEV",0,6,2029,"Private hire car","Default"
"BEV",0,53,2029,"Private hire car","Default"
"ICEV-G",0,7462,2030,"Private hire car","Default"
"ICEV-D",0,244,2030,"Private hire car","Default"
"HEV-G",0,962,2030,"Private hire car","Default"
"CNG",0,0,2030,"Private hire car","Default"
"PHEV",0,5,2030,"Private hire car","Default"
"BEV",0,44,2030,"Private hire car","Default"
"ICEV-G",0,8174,2031,"Private hire car","Default"
"ICEV-D",0,267,2031,"Private hire car","Default"
"HEV-G",0,1053,2031,"Private hire car","Default"
"CNG",0,0,2031,"Private hire car","Default"
"PHEV",0,5,2031,"Private hire car","Default"
"BEV",0,49,2031,"Private hire car","Default"
"ICEV-G",0,7658,2032,"Private hire car","Default"
"ICEV-D",0,250,2032,"Private hire car","Default"
"HEV-G",0,987,2032,"Private hire car","Default"
"CNG",0,0,2032,"Private hire car","Default"
"PHEV",0,5,2032,"Private hire car","Default"
"BEV",0,46,2032,"Private hire car","Default"
"ICEV-G",0,6641,2033,"Private hire car","Default"
"ICEV-D",0,217,2033,"Private hire car","Default"
"HEV-G",0,856,2033,"Private hire car","Default"
"CNG",0,0,2033,"Private hire car","Default"
"PHEV",0,4,2033,"Private hire car","Default"
"BEV",0,39,2033,"Private hire car","Default"
"ICEV-G",0,6958,2034,"Private hire car","Default"
"ICEV-D",0,227,2034,"Private hire car","Default"
"HEV-G",0,896,2034,"Private hire car","Default"
"CNG",0,0,2034,"Private hire car","Default"
"PHEV",0,4,2034,"Private hire car","Default"
"BEV",0,41,2034,"Private hire car","Default"
"ICEV-G",0,7522,2035,"Private hire car","Default"
"ICEV-D",0,246,2035,"Private hire car","Default"
"HEV-G",0,969,2035,"Private hire car","Default"
"CNG",0,0,2035,"Private hire car","Default"
"PHEV",0,5,2035,"Private hire car","Default"
"BEV",0,45,2035,"Private hire car","Default"
"ICEV-G",0,8700,2036,"Private hire car","Default"
"ICEV-D",0,284,2036,"Private hire car","Default"
"HEV-G",0,1121,2036,"Private hire car","Default"
"CNG",0,0,2036,"Private hire car","Default"
"PHEV",0,5,2036,"Private hire car","Default"
"BEV",0,52,2036,"Private hire car","Default"
"ICEV-G",0,8224,2037,"Private hire car","Default"
"ICEV-D",0,269,2037,"Private hire car","Default"
"HEV-G",0,1060,2037,"Private hire car","Default"
"CNG",0,0,2037,"Private hire car","Default"
"PHEV",0,5,2037,"Private hire car","Default"
"BEV",0,49,2037,"Private hire car","Default"
"ICEV-G",0,7174,2038,"Private hire car","Default"
"ICEV-D",0,234,2038,"Private hire car","Default"
"HEV-G",0,924,2038,"Private hire car","Default"
"CNG",0,0,2038,"Private hire car","Default"
"PHEV",0,4,2038,"Private hire car","Default"
"BEV",0,43,2038,"Private hire car","Default"
"ICEV-G",0,7962,2039,"Private hire car","Default"
"ICEV-D",0,260,2039,"Private hire car","Default"
"HEV-G",0,1026,2039,"Private hire car","Default"
"CNG",0,0,2039,"Private hire car","Default"
"PHEV",0,5,2039,"Private hire car","Default"
"BEV",0,47,2039,"Private hire car","Default"
"ICEV-G",0,7898,2040,"Private hire car","Default"
"ICEV-D",0,258,2040,"Private hire car","Default"
"HEV-G",0,1018,2040,"Private hire car","Default"
"CNG",0,0,2040,"Private hire car","Default"
"PHEV",0,5,2040,"Private hire car","Default"
"BEV",0,47,2040,"Private hire car","Default"
"ICEV-G",0,8008,2041,"Private hire car","Default"
"ICEV-D",0,262,2041,"Private hire car","Default"
"HEV-G",0,1032,2041,"Private hire car","Default"
"CNG",0,0,2041,"Private hire car","Default"
"PHEV",0,5,2041,"Private hire car","Default"
"BEV",0,48,2041,"Private hire car","Default"
"ICEV-G",0,7739,2042,"Private hire car","Default"
"ICEV-D",0,253,2042,"Private hire car","Default"
"HEV-G",0,997,2042,"Private hire car","Default"
"CNG",0,0,2042,"Private hire car","Default"
"PHEV",0,5,2042,"Private hire car","Default"
"BEV",0,46,2042,"Private hire car","Default"
"ICEV-G",0,7224,2043,"Private hire car","Default"
"ICEV-D",0,236,2043,"Private hire car","Default"
"HEV-G",0,931,2043,"Private hire car","Default"
"CNG",0,0,2043,"Private hire car","Default"
"PHEV",0,4,2043,"Private hire car","Default"
"BEV",0,43,2043,"Private hire car","Default"
"ICEV-G",0,7462,2044,"Private hire car","Default"
"ICEV-D",0,244,2044,"Private hire car","Default"
"HEV-G",0,961,2044,"Private hire car","Default"
"CNG",0,0,2044,"Private hire car","Default"
"PHEV",0,5,2044,"Private hire car","Default"
"BEV",0,44,2044,"Private hire car","Default"
"ICEV-G",0,7596,2045,"Private hire car","Default"
"ICEV-D",0,248,2045,"Private hire car","Default"
"HEV-G",0,979,2045,"Private hire car","Default"
"CNG",0,0,2045,"Private hire car","Default"
"PHEV",0,5,2045,"Private hire car","Default"
"BEV",0,45,2045,"Private hire car","Default"
"ICEV-G",0,8009,2046,"Private hire car","Default"
"ICEV-D",0,262,2046,"Private hire car","Default"
"HEV-G",0,1032,2046,"Private hire car","Default"
"CNG",0,0,2046,"Private hire car","Default"
"PHEV",0,5,2046,"Private hire car","Default"
"BEV",0,48,2046,"Private hire car","Default"
"ICEV-G",0,7798,2047,"Private hire car","Default"
"ICEV-D",0,255,2047,"Private hire car","Default"
"HEV-G",0,1005,2047,"Private hire car","Default"
"CNG",0,0,2047,"Private hire car","Default"
"PHEV",0,5,2047,"Private hire car","Default"
"BEV",0,46,2047,"Private hire car","Default"
"ICEV-G",0,7357,2048,"Private hire car","Default"
"ICEV-D",0,240,2048,"Private hire car","Default"
"HEV-G",0,948,2048,"Private hire car","Default"
"CNG",0,0,2048,"Private hire car","Default"
"PHEV",0,5,2048,"Private hire car","Default"
"BEV",0,44,2048,"Private hire car","Default"
"ICEV-G",0,7581,2049,"Private hire car","Default"
"ICEV-D",0,248,2049,"Private hire car","Default"
"HEV-G",0,977,2049,"Private hire car","Default"
"CNG",0,0,2049,"Private hire car","Default"
"PHEV",0,5,2049,"Private hire car","Default"
"BEV",0,45,2049,"Private hire car","Default"
"ICEV-G",0,7720,2050,"Private hire car","Default"
"ICEV-D",0,252,2050,"Private hire car","Default"
"HEV-G",0,995,2050,"Private hire car","Default"
"CNG",0,0,2050,"Private hire car","Default"
"PHEV",0,5,2050,"Private hire car","Default"
"BEV",0,46,2050,"Private hire car","Default"
"ICEV-G",0,1,2005,"Taxi","Default"
"ICEV-D",0,5475,2005,"Taxi","Default"
"HEV-G",0,0,2005,"Taxi","Default"
"CNG",0,100,2005,"Taxi","Default"
"PHEV",0,0,2005,"Taxi","Default"
"BEV",0,0,2005,"Taxi","Default"
"ICEV-G",0,0,2006,"Taxi","Default"
"ICEV-D",0,5110,2006,"Taxi","Default"
"HEV-G",0,0,2006,"Taxi","Default"
"CNG",0,4,2006,"Taxi","Default"
"PHEV",0,0,2006,"Taxi","Default"
"BEV",0,0,2006,"Taxi","Default"
"ICEV-G",0,0,2007,"Taxi","Default"
"ICEV-D",0,3776,2007,"Taxi","Default"
"HEV-G",0,0,2007,"Taxi","Default"
"CNG",0,99,2007,"Taxi","Default"
"PHEV",0,0,2007,"Taxi","Default"
"BEV",0,0,2007,"Taxi","Default"
"ICEV-G",0,6,2008,"Taxi","Default"
"ICEV-D",0,1869,2008,"Taxi","Default"
"HEV-G",0,0,2008,"Taxi","Default"
"CNG",0,505,2008,"Taxi","Default"
"PHEV",0,0,2008,"Taxi","Default"
"BEV",0,0,2008,"Taxi","Default"
"ICEV-G",0,133,2009,"Taxi","Default"
"ICEV-D",0,2363,2009,"Taxi","Default"
"HEV-G",0,4,2009,"Taxi","Default"
"CNG",0,1082,2009,"Taxi","Default"
"PHEV",0,0,2009,"Taxi","Default"
"BEV",0,0,2009,"Taxi","Default"
"ICEV-G",0,154,2010,"Taxi","Default"
"ICEV-D",0,3247,2010,"Taxi","Default"
"HEV-G",0,45,2010,"Taxi","Default"
"CNG",0,1417,2010,"Taxi","Default"
