"Mode","Year","Value","Unit"
"Motorcycle",2016,1880194.8,"thousand passenger"
"Public bus",2016,6186494.925,"thousand passenger"
"School bus",2016,3828450.6,"thousand passenger"
"Private bus",2016,2707452,"thousand passenger"
"MRT",2016,12769669.7130002,"thousand passenger"
"LRT",2016,133320.958232854,"thousand passenger"
"Private car",2017,15977482.85,"thousand passenger"
"Private hire car",2017,1819177.76,"thousand passenger"
"Taxi",2017,2867212.5,"thousand passenger"
"Motorcycle",2017,1865212.8,"thousand passenger"
"Public bus",2017,6206912.4,"thousand passenger"
"School bus",2017,4414647.6,"thousand passenger"
"Private bus",2017,2443260,"thousand passenger"
"MRT",2017,13547934.6624618,"thousand passenger"
"LRT",2017,145666.237295805,"thousand passenger"
"Private car",2018,16812267.5,"thousand passenger"
"Private hire car",2018,1861440,"thousand passenger"
"Taxi",2018,2173237.5,"thousand passenger"
"Motorcycle",2018,1778946,"thousand passenger"
"Public bus",2018,6340411.275,"thousand passenger"
"School bus",2018,3880396.8,"thousand passenger"
"Private bus",2018,2293135.5,"thousand passenger"
"MRT",2018,15199320.2701967,"thousand passenger"
"LRT",2018,147055.836407296,"thousand passenger"
"Private car",2019,16949559.375,"thousand passenger"
"Private hire car",2019,2159948,"thousand passenger"
"Taxi",2019,2173237.5,"thousand passenger"
"Motorcycle",2019,1825174,"thousand passenger"
"Public bus",2019,6340411.275,"thousand passenger"
"School bus",2019,4022323.2,"thousand passenger"
"Private bus",2019,2254345.5,"thousand passenger"
"MRT",2019,15199320.2701967,"thousand passenger"
"LRT",2019,147055.836407296,"thousand passenger"
