"Scenario","Electrification target year","Electricity GHG intensity","Value","Unit"
"Public transit development (PT)",2046,0.2478,"1.02e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2047,0.2478,"1.37e+02","Mt CO2 eq."
"Public transit development (PT)",2047,0.2478,"1.03e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2048,0.2478,"1.39e+02","Mt CO2 eq."
"Public transit development (PT)",2048,0.2478,"1.04e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2049,0.2478,"1.40e+02","Mt CO2 eq."
"Public transit development (PT)",2049,0.2478,"1.05e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2050,0.2478,"1.42e+02","Mt CO2 eq."
"Public transit development (PT)",2050,0.2478,"1.06e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2030,0.2065,"1.07e+02","Mt CO2 eq."
"Public transit development (PT)",2030,0.2065,"8.32e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2031,0.2065,"1.07e+02","Mt CO2 eq."
"Public transit development (PT)",2031,0.2065,"8.32e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2032,0.2065,"1.09e+02","Mt CO2 eq."
"Public transit development (PT)",2032,0.2065,"8.42e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2033,0.2065,"1.10e+02","Mt CO2 eq."
"Public transit development (PT)",2033,0.2065,"8.52e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2034,0.2065,"1.12e+02","Mt CO2 eq."
"Public transit development (PT)",2034,0.2065,"8.61e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2035,0.2065,"1.13e+02","Mt CO2 eq."
"Public transit development (PT)",2035,0.2065,"8.71e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2036,0.2065,"1.15e+02","Mt CO2 eq."
"Public transit development (PT)",2036,0.2065,"8.80e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2037,0.2065,"1.16e+02","Mt CO2 eq."
"Public transit development (PT)",2037,0.2065,"8.90e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2038,0.2065,"1.18e+02","Mt CO2 eq."
"Public transit development (PT)",2038,0.2065,"9.00e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2039,0.2065,"1.20e+02","Mt CO2 eq."
"Public transit development (PT)",2039,0.2065,"9.11e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2040,0.2065,"1.21e+02","Mt CO2 eq."
"Public transit development (PT)",2040,0.2065,"9.21e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2041,0.2065,"1.23e+02","Mt CO2 eq."
"Public transit development (PT)",2041,0.2065,"9.31e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2042,0.2065,"1.25e+02","Mt CO2 eq."
"Public transit development (PT)",2042,0.2065,"9.42e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2043,0.2065,"1.26e+02","Mt CO2 eq."
"Public transit development (PT)",2043,0.2065,"9.53e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2044,0.2065,"1.28e+02","Mt CO2 eq."
"Public transit development (PT)",2044,0.2065,"9.64e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2045,0.2065,"1.30e+02","Mt CO2 eq."
"Public transit development (PT)",2045,0.2065,"9.75e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2046,0.2065,"1.31e+02","Mt CO2 eq."
"Public transit development (PT)",2046,0.2065,"9.86e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2047,0.2065,"1.33e+02","Mt CO2 eq."
