"Technology","Year","Value","Mode","Scenario"
"PHEV",2048,1,"Private car","Private Car ubiquity"
"EV/B",2048,744029,"Private car","Private Car ubiquity"
"ICEV/B-G",2049,225,"Private car","Private Car ubiquity"
"ICEV/B-D",2049,4,"Private car","Private Car ubiquity"
"HEV/B-G",2049,36,"Private car","Private Car ubiquity"
"CNGV/B",2049,0,"Private car","Private Car ubiquity"
"PHEV",2049,0,"Private car","Private Car ubiquity"
"EV/B",2049,743529,"Private car","Private Car ubiquity"
"ICEV/B-G",2050,0,"Private car","Private Car ubiquity"
"ICEV/B-D",2050,0,"Private car","Private Car ubiquity"
"HEV/B-G",2050,0,"Private car","Private Car ubiquity"
"CNGV/B",2050,0,"Private car","Private Car ubiquity"
"PHEV",2050,0,"Private car","Private Car ubiquity"
"EV/B",2050,742588,"Private car","Private Car ubiquity"
"ICEV/B-G",2020,71692,"Private car","Private Car ubiquity"
"ICEV/B-D",2020,2312,"Private car","Private Car ubiquity"
"HEV/B-G",2020,5012,"Private car","Private Car ubiquity"
"CNGV/B",2020,29,"Private car","Private Car ubiquity"
"PHEV",2020,61,"Private car","Private Car ubiquity"
"EV/B",2020,169,"Private car","Private Car ubiquity"
"ICEV/B-G",2021,72285,"Private car","Private Car ubiquity"
"ICEV/B-D",2021,2388,"Private car","Private Car ubiquity"
"HEV/B-G",2021,5656,"Private car","Private Car ubiquity"
"CNGV/B",2021,26,"Private car","Private Car ubiquity"
"PHEV",2021,64,"Private car","Private Car ubiquity"
"EV/B",2021,1018,"Private car","Private Car ubiquity"
"ICEV/B-G",2022,72318,"Private car","Private Car ubiquity"
"ICEV/B-D",2022,2410,"Private car","Private Car ubiquity"
"HEV/B-G",2022,6117,"Private car","Private Car ubiquity"
"CNGV/B",2022,24,"Private car","Private Car ubiquity"
"PHEV",2022,65,"Private car","Private Car ubiquity"
"EV/B",2022,2699,"Private car","Private Car ubiquity"
"ICEV/B-G",2023,72012,"Private car","Private Car ubiquity"
"ICEV/B-D",2023,2395,"Private car","Private Car ubiquity"
"HEV/B-G",2023,6333,"Private car","Private Car ubiquity"
"CNGV/B",2023,21,"Private car","Private Car ubiquity"
"PHEV",2023,63,"Private car","Private Car ubiquity"
"EV/B",2023,5025,"Private car","Private Car ubiquity"
"ICEV/B-G",2024,71019,"Private car","Private Car ubiquity"
"ICEV/B-D",2024,2370,"Private car","Private Car ubiquity"
"HEV/B-G",2024,6443,"Private car","Private Car ubiquity"
"CNGV/B",2024,18,"Private car","Private Car ubiquity"
"PHEV",2024,61,"Private car","Private Car ubiquity"
"EV/B",2024,8159,"Private car","Private Car ubiquity"
"ICEV/B-G",2025,67727,"Private car","Private Car ubiquity"
"ICEV/B-D",2025,2337,"Private car","Private Car ubiquity"
"HEV/B-G",2025,6649,"Private car","Private Car ubiquity"
"CNGV/B",2025,14,"Private car","Private Car ubiquity"
"PHEV",2025,61,"Private car","Private Car ubiquity"
"EV/B",2025,13493,"Private car","Private Car ubiquity"
"ICEV/B-G",2026,61449,"Private car","Private Car ubiquity"
"ICEV/B-D",2026,2210,"Private car","Private Car ubiquity"
"HEV/B-G",2026,6853,"Private car","Private Car ubiquity"
"CNGV/B",2026,9,"Private car","Private Car ubiquity"
"PHEV",2026,63,"Private car","Private Car ubiquity"
"EV/B",2026,21897,"Private car","Private Car ubiquity"
"ICEV/B-G",2027,55816,"Private car","Private Car ubiquity"
"ICEV/B-D",2027,1968,"Private car","Private Car ubiquity"
"HEV/B-G",2027,6673,"Private car","Private Car ubiquity"
"CNGV/B",2027,9,"Private car","Private Car ubiquity"
"PHEV",2027,62,"Private car","Private Car ubiquity"
"EV/B",2027,30144,"Private car","Private Car ubiquity"
"ICEV/B-G",2028,52679,"Private car","Private Car ubiquity"
"ICEV/B-D",2028,1748,"Private car","Private Car ubiquity"
"HEV/B-G",2028,5903,"Private car","Private Car ubiquity"
"CNGV/B",2028,8,"Private car","Private Car ubiquity"
"PHEV",2028,45,"Private car","Private Car ubiquity"
"EV/B",2028,36469,"Private car","Private Car ubiquity"
"ICEV/B-G",2029,45486,"Private car","Private Car ubiquity"
"ICEV/B-D",2029,1539,"Private car","Private Car ubiquity"
"HEV/B-G",2029,5244,"Private car","Private Car ubiquity"
"CNGV/B",2029,4,"Private car","Private Car ubiquity"
"PHEV",2029,42,"Private car","Private Car ubiquity"
"EV/B",2029,46701,"Private car","Private Car ubiquity"
"ICEV/B-G",2030,38678,"Private car","Private Car ubiquity"
"ICEV/B-D",2030,1330,"Private car","Private Car ubiquity"
"HEV/B-G",2030,4646,"Private car","Private Car ubiquity"
"CNGV/B",2030,2,"Private car","Private Car ubiquity"
"PHEV",2030,39,"Private car","Private Car ubiquity"
"EV/B",2030,56464,"Private car","Private Car ubiquity"
"ICEV/B-G",2031,31970,"Private car","Private Car ubiquity"
"ICEV/B-D",2031,1103,"Private car","Private Car ubiquity"
"HEV/B-G",2031,3965,"Private car","Private Car ubiquity"
"CNGV/B",2031,1,"Private car","Private Car ubiquity"
"PHEV",2031,34,"Private car","Private Car ubiquity"
"EV/B",2031,64569,"Private car","Private Car ubiquity"
"ICEV/B-G",2032,26415,"Private car","Private Car ubiquity"
"ICEV/B-D",2032,896,"Private car","Private Car ubiquity"
"HEV/B-G",2032,3302,"Private car","Private Car ubiquity"
"CNGV/B",2032,1,"Private car","Private Car ubiquity"
"PHEV",2032,30,"Private car","Private Car ubiquity"
"EV/B",2032,71441,"Private car","Private Car ubiquity"
"ICEV/B-G",2033,22351,"Private car","Private Car ubiquity"
"ICEV/B-D",2033,737,"Private car","Private Car ubiquity"
"HEV/B-G",2033,2703,"Private car","Private Car ubiquity"
"CNGV/B",2033,1,"Private car","Private Car ubiquity"
"PHEV",2033,24,"Private car","Private Car ubiquity"
"EV/B",2033,76670,"Private car","Private Car ubiquity"
"ICEV/B-G",2034,18421,"Private car","Private Car ubiquity"
"ICEV/B-D",2034,609,"Private car","Private Car ubiquity"
"HEV/B-G",2034,2216,"Private car","Private Car ubiquity"
"CNGV/B",2034,1,"Private car","Private Car ubiquity"
"PHEV",2034,20,"Private car","Private Car ubiquity"
"EV/B",2034,81579,"Private car","Private Car ubiquity"
"ICEV/B-G",2035,14830,"Private car","Private Car ubiquity"
"ICEV/B-D",2035,492,"Private car","Private Car ubiquity"
"HEV/B-G",2035,1779,"Private car","Private Car ubiquity"
"CNGV/B",2035,1,"Private car","Private Car ubiquity"
"PHEV",2035,16,"Private car","Private Car ubiquity"
"EV/B",2035,86044,"Private car","Private Car ubiquity"
"ICEV/B-G",2036,11142,"Private car","Private Car ubiquity"
"ICEV/B-D",2036,379,"Private car","Private Car ubiquity"
"HEV/B-G",2036,1365,"Private car","Private Car ubiquity"
"CNGV/B",2036,1,"Private car","Private Car ubiquity"
"PHEV",2036,12,"Private car","Private Car ubiquity"
"EV/B",2036,90537,"Private car","Private Car ubiquity"
"ICEV/B-G",2037,8021,"Private car","Private Car ubiquity"
"ICEV/B-D",2037,281,"Private car","Private Car ubiquity"
"HEV/B-G",2037,1048,"Private car","Private Car ubiquity"
"CNGV/B",2037,0,"Private car","Private Car ubiquity"
"PHEV",2037,10,"Private car","Private Car ubiquity"
"EV/B",2037,94307,"Private car","Private Car ubiquity"
"ICEV/B-G",2038,5828,"Private car","Private Car ubiquity"
"ICEV/B-D",2038,203,"Private car","Private Car ubiquity"
"HEV/B-G",2038,807,"Private car","Private Car ubiquity"
"CNGV/B",2038,0,"Private car","Private Car ubiquity"
"PHEV",2038,8,"Private car","Private Car ubiquity"
"EV/B",2038,97010,"Private car","Private Car ubiquity"
"ICEV/B-G",2039,4383,"Private car","Private Car ubiquity"
"ICEV/B-D",2039,142,"Private car","Private Car ubiquity"
"HEV/B-G",2039,566,"Private car","Private Car ubiquity"
"CNGV/B",2039,0,"Private car","Private Car ubiquity"
"PHEV",2039,3,"Private car","Private Car ubiquity"
"EV/B",2039,98911,"Private car","Private Car ubiquity"
"ICEV/B-G",2040,3123,"Private car","Private Car ubiquity"
"ICEV/B-D",2040,101,"Private car","Private Car ubiquity"
"HEV/B-G",2040,404,"Private car","Private Car ubiquity"
"CNGV/B",2040,0,"Private car","Private Car ubiquity"
"PHEV",2040,2,"Private car","Private Car ubiquity"
"EV/B",2040,100486,"Private car","Private Car ubiquity"
"ICEV/B-G",2041,2221,"Private car","Private Car ubiquity"
"ICEV/B-D",2041,72,"Private car","Private Car ubiquity"
"HEV/B-G",2041,287,"Private car","Private Car ubiquity"
"CNGV/B",2041,0,"Private car","Private Car ubiquity"
"PHEV",2041,1,"Private car","Private Car ubiquity"
"EV/B",2041,101608,"Private car","Private Car ubiquity"
"ICEV/B-G",2042,1549,"Private car","Private Car ubiquity"
"ICEV/B-D",2042,51,"Private car","Private Car ubiquity"
"HEV/B-G",2042,200,"Private car","Private Car ubiquity"
"CNGV/B",2042,0,"Private car","Private Car ubiquity"
"PHEV",2042,0,"Private car","Private Car ubiquity"
"EV/B",2042,102425,"Private car","Private Car ubiquity"
"ICEV/B-G",2043,1109,"Private car","Private Car ubiquity"
"ICEV/B-D",2043,36,"Private car","Private Car ubiquity"
"HEV/B-G",2043,143,"Private car","Private Car ubiquity"
"CNGV/B",2043,0,"Private car","Private Car ubiquity"
"PHEV",2043,0,"Private car","Private Car ubiquity"
"EV/B",2043,102940,"Private car","Private Car ubiquity"
"ICEV/B-G",2044,802,"Private car","Private Car ubiquity"
"ICEV/B-D",2044,27,"Private car","Private Car ubiquity"
"HEV/B-G",2044,103,"Private car","Private Car ubiquity"
"CNGV/B",2044,0,"Private car","Private Car ubiquity"
"PHEV",2044,0,"Private car","Private Car ubiquity"
"EV/B",2044,103268,"Private car","Private Car ubiquity"
"ICEV/B-G",2045,602,"Private car","Private Car ubiquity"
"ICEV/B-D",2045,21,"Private car","Private Car ubiquity"
"HEV/B-G",2045,77,"Private car","Private Car ubiquity"
"CNGV/B",2045,0,"Private car","Private Car ubiquity"
"PHEV",2045,0,"Private car","Private Car ubiquity"
"EV/B",2045,103443,"Private car","Private Car ubiquity"
"ICEV/B-G",2046,402,"Private car","Private Car ubiquity"
"ICEV/B-D",2046,14,"Private car","Private Car ubiquity"
"HEV/B-G",2046,50,"Private car","Private Car ubiquity"
"CNGV/B",2046,0,"Private car","Private Car ubiquity"
"PHEV",2046,0,"Private car","Private Car ubiquity"
"EV/B",2046,103594,"Private car","Private Car ubiquity"
"ICEV/B-G",2047,214,"Private car","Private Car ubiquity"
"ICEV/B-D",2047,9,"Private car","Private Car ubiquity"
"HEV/B-G",2047,26,"Private car","Private Car ubiquity"
"CNGV/B",2047,0,"Private car","Private Car ubiquity"
"PHEV",2047,0,"Private car","Private Car ubiquity"
"EV/B",2047,103702,"Private car","Private Car ubiquity"
"ICEV/B-G",2048,94,"Private car","Private Car ubiquity"
"ICEV/B-D",2048,5,"Private car","Private Car ubiquity"
"HEV/B-G",2048,11,"Private car","Private Car ubiquity"
"CNGV/B",2048,0,"Private car","Private Car ubiquity"
"PHEV",2048,0,"Private car","Private Car ubiquity"
"EV/B",2048,103711,"Private car","Private Car ubiquity"
"ICEV/B-G",2049,37,"Private car","Private Car ubiquity"
"ICEV/B-D",2049,2,"Private car","Private Car ubiquity"
"HEV/B-G",2049,4,"Private car","Private Car ubiquity"
