"Scenario","Electrification target year","PT modal share change","Motorized pkt change","Value","Unit"
"Transition to renewable",2030,"0.5%","-1%","7.00e+01","Mt CO2 eq."
"Constant",2032,"0.5%","-1%","1.05e+02","Mt CO2 eq."
"Transition to renewable",2032,"0.5%","-1%","7.10e+01","Mt CO2 eq."
"Constant",2034,"0.5%","-1%","1.07e+02","Mt CO2 eq."
"Transition to renewable",2034,"0.5%","-1%","7.32e+01","Mt CO2 eq."
"Constant",2036,"0.5%","-1%","1.08e+02","Mt CO2 eq."
"Transition to renewable",2036,"0.5%","-1%","7.55e+01","Mt CO2 eq."
"Constant",2038,"0.5%","-1%","1.09e+02","Mt CO2 eq."
"Transition to renewable",2038,"0.5%","-1%","7.81e+01","Mt CO2 eq."
"Constant",2040,"0.5%","-1%","1.11e+02","Mt CO2 eq."
"Transition to renewable",2040,"0.5%","-1%","8.08e+01","Mt CO2 eq."
"Constant",2042,"0.5%","-1%","1.13e+02","Mt CO2 eq."
"Transition to renewable",2042,"0.5%","-1%","8.37e+01","Mt CO2 eq."
"Constant",2044,"0.5%","-1%","1.14e+02","Mt CO2 eq."
"Transition to renewable",2044,"0.5%","-1%","8.67e+01","Mt CO2 eq."
"Constant",2046,"0.5%","-1%","1.16e+02","Mt CO2 eq."
"Transition to renewable",2046,"0.5%","-1%","8.96e+01","Mt CO2 eq."
"Constant",2048,"0.5%","-1%","1.17e+02","Mt CO2 eq."
"Transition to renewable",2048,"0.5%","-1%","9.24e+01","Mt CO2 eq."
"Constant",2050,"0.5%","-1%","1.18e+02","Mt CO2 eq."
"Transition to renewable",2050,"0.5%","-1%","9.51e+01","Mt CO2 eq."
"Constant",2030,"1%","-1%","9.60e+01","Mt CO2 eq."
"Transition to renewable",2030,"1%","-1%","6.55e+01","Mt CO2 eq."
"Constant",2032,"1%","-1%","9.66e+01","Mt CO2 eq."
"Transition to renewable",2032,"1%","-1%","6.65e+01","Mt CO2 eq."
"Constant",2034,"1%","-1%","9.79e+01","Mt CO2 eq."
"Transition to renewable",2034,"1%","-1%","6.85e+01","Mt CO2 eq."
"Constant",2036,"1%","-1%","9.92e+01","Mt CO2 eq."
"Transition to renewable",2036,"1%","-1%","7.06e+01","Mt CO2 eq."
"Constant",2038,"1%","-1%","1.01e+02","Mt CO2 eq."
"Transition to renewable",2038,"1%","-1%","7.30e+01","Mt CO2 eq."
"Constant",2040,"1%","-1%","1.02e+02","Mt CO2 eq."
"Transition to renewable",2040,"1%","-1%","7.55e+01","Mt CO2 eq."
"Constant",2042,"1%","-1%","1.03e+02","Mt CO2 eq."
"Transition to renewable",2042,"1%","-1%","7.81e+01","Mt CO2 eq."
"Constant",2044,"1%","-1%","1.05e+02","Mt CO2 eq."
"Transition to renewable",2044,"1%","-1%","8.08e+01","Mt CO2 eq."
"Constant",2046,"1%","-1%","1.06e+02","Mt CO2 eq."
"Transition to renewable",2046,"1%","-1%","8.34e+01","Mt CO2 eq."
"Constant",2048,"1%","-1%","1.07e+02","Mt CO2 eq."
"Transition to renewable",2048,"1%","-1%","8.58e+01","Mt CO2 eq."
"Constant",2050,"1%","-1%","1.08e+02","Mt CO2 eq."
"Transition to renewable",2050,"1%","-1%","8.82e+01","Mt CO2 eq."
"Constant",2030,"1.5%","-1%","8.75e+01","Mt CO2 eq."
"Transition to renewable",2030,"1.5%","-1%","6.10e+01","Mt CO2 eq."
"Constant",2032,"1.5%","-1%","8.81e+01","Mt CO2 eq."
"Transition to renewable",2032,"1.5%","-1%","6.19e+01","Mt CO2 eq."
"Constant",2034,"1.5%","-1%","8.93e+01","Mt CO2 eq."
"Transition to renewable",2034,"1.5%","-1%","6.38e+01","Mt CO2 eq."
"Constant",2036,"1.5%","-1%","9.04e+01","Mt CO2 eq."
"Transition to renewable",2036,"1.5%","-1%","6.57e+01","Mt CO2 eq."
"Constant",2038,"1.5%","-1%","9.17e+01","Mt CO2 eq."
"Transition to renewable",2038,"1.5%","-1%","6.78e+01","Mt CO2 eq."
"Constant",2040,"1.5%","-1%","9.29e+01","Mt CO2 eq."
"Transition to renewable",2040,"1.5%","-1%","7.02e+01","Mt CO2 eq."
"Constant",2042,"1.5%","-1%","9.42e+01","Mt CO2 eq."
"Transition to renewable",2042,"1.5%","-1%","7.25e+01","Mt CO2 eq."
"Constant",2044,"1.5%","-1%","9.54e+01","Mt CO2 eq."
"Transition to renewable",2044,"1.5%","-1%","7.49e+01","Mt CO2 eq."
"Constant",2046,"1.5%","-1%","9.65e+01","Mt CO2 eq."
"Transition to renewable",2046,"1.5%","-1%","7.72e+01","Mt CO2 eq."
"Constant",2048,"1.5%","-1%","9.75e+01","Mt CO2 eq."
"Transition to renewable",2048,"1.5%","-1%","7.93e+01","Mt CO2 eq."
"Constant",2050,"1.5%","-1%","9.85e+01","Mt CO2 eq."
"Transition to renewable",2050,"1.5%","-1%","8.13e+01","Mt CO2 eq."
"Constant",2030,"2%","-1%","7.97e+01","Mt CO2 eq."
"Transition to renewable",2030,"2%","-1%","5.72e+01","Mt CO2 eq."
"Constant",2032,"2%","-1%","8.03e+01","Mt CO2 eq."
"Transition to renewable",2032,"2%","-1%","5.80e+01","Mt CO2 eq."
"Constant",2034,"2%","-1%","8.13e+01","Mt CO2 eq."
"Transition to renewable",2034,"2%","-1%","5.97e+01","Mt CO2 eq."
"Constant",2036,"2%","-1%","8.23e+01","Mt CO2 eq."
"Transition to renewable",2036,"2%","-1%","6.14e+01","Mt CO2 eq."
"Constant",2038,"2%","-1%","8.35e+01","Mt CO2 eq."
"Transition to renewable",2038,"2%","-1%","6.33e+01","Mt CO2 eq."
"Constant",2040,"2%","-1%","8.46e+01","Mt CO2 eq."
"Transition to renewable",2040,"2%","-1%","6.54e+01","Mt CO2 eq."
"Constant",2042,"2%","-1%","8.57e+01","Mt CO2 eq."
"Transition to renewable",2042,"2%","-1%","6.75e+01","Mt CO2 eq."
"Constant",2044,"2%","-1%","8.67e+01","Mt CO2 eq."
"Transition to renewable",2044,"2%","-1%","6.95e+01","Mt CO2 eq."
"Constant",2046,"2%","-1%","8.76e+01","Mt CO2 eq."
"Transition to renewable",2046,"2%","-1%","7.14e+01","Mt CO2 eq."
"Constant",2048,"2%","-1%","8.84e+01","Mt CO2 eq."
"Transition to renewable",2048,"2%","-1%","7.32e+01","Mt CO2 eq."
"Constant",2050,"2%","-1%","8.92e+01","Mt CO2 eq."
"Transition to renewable",2050,"2%","-1%","7.47e+01","Mt CO2 eq."
"Constant",2030,"0%","-2%","9.92e+01","Mt CO2 eq."
"Transition to renewable",2030,"0%","-2%","6.81e+01","Mt CO2 eq."
"Constant",2032,"0%","-2%","9.99e+01","Mt CO2 eq."
"Transition to renewable",2032,"0%","-2%","6.91e+01","Mt CO2 eq."
"Constant",2034,"0%","-2%","1.01e+02","Mt CO2 eq."
"Transition to renewable",2034,"0%","-2%","7.11e+01","Mt CO2 eq."
"Constant",2036,"0%","-2%","1.02e+02","Mt CO2 eq."
"Transition to renewable",2036,"0%","-2%","7.33e+01","Mt CO2 eq."
"Constant",2038,"0%","-2%","1.04e+02","Mt CO2 eq."
"Transition to renewable",2038,"0%","-2%","7.57e+01","Mt CO2 eq."
"Constant",2040,"0%","-2%","1.05e+02","Mt CO2 eq."
"Transition to renewable",2040,"0%","-2%","7.83e+01","Mt CO2 eq."
"Constant",2042,"0%","-2%","1.07e+02","Mt CO2 eq."
"Transition to renewable",2042,"0%","-2%","8.11e+01","Mt CO2 eq."
"Constant",2044,"0%","-2%","1.08e+02","Mt CO2 eq."
"Transition to renewable",2044,"0%","-2%","8.38e+01","Mt CO2 eq."
"Constant",2046,"0%","-2%","1.10e+02","Mt CO2 eq."
"Transition to renewable",2046,"0%","-2%","8.65e+01","Mt CO2 eq."
"Constant",2048,"0%","-2%","1.11e+02","Mt CO2 eq."
"Transition to renewable",2048,"0%","-2%","8.91e+01","Mt CO2 eq."
"Constant",2050,"0%","-2%","1.12e+02","Mt CO2 eq."
"Transition to renewable",2050,"0%","-2%","9.17e+01","Mt CO2 eq."
"Constant",2030,"0.5%","-2%","9.24e+01","Mt CO2 eq."
"Transition to renewable",2030,"0.5%","-2%","6.45e+01","Mt CO2 eq."
"Constant",2032,"0.5%","-2%","9.30e+01","Mt CO2 eq."
"Transition to renewable",2032,"0.5%","-2%","6.54e+01","Mt CO2 eq."
"Constant",2034,"0.5%","-2%","9.42e+01","Mt CO2 eq."
"Transition to renewable",2034,"0.5%","-2%","6.73e+01","Mt CO2 eq."
"Constant",2036,"0.5%","-2%","9.54e+01","Mt CO2 eq."
"Transition to renewable",2036,"0.5%","-2%","6.93e+01","Mt CO2 eq."
"Constant",2038,"0.5%","-2%","9.67e+01","Mt CO2 eq."
"Transition to renewable",2038,"0.5%","-2%","7.15e+01","Mt CO2 eq."
"Constant",2040,"0.5%","-2%","9.81e+01","Mt CO2 eq."
"Transition to renewable",2040,"0.5%","-2%","7.39e+01","Mt CO2 eq."
"Constant",2042,"0.5%","-2%","9.94e+01","Mt CO2 eq."
"Transition to renewable",2042,"0.5%","-2%","7.64e+01","Mt CO2 eq."
"Constant",2044,"0.5%","-2%","1.01e+02","Mt CO2 eq."
"Transition to renewable",2044,"0.5%","-2%","7.89e+01","Mt CO2 eq."
"Constant",2046,"0.5%","-2%","1.02e+02","Mt CO2 eq."
"Transition to renewable",2046,"0.5%","-2%","8.14e+01","Mt CO2 eq."
"Constant",2048,"0.5%","-2%","1.03e+02","Mt CO2 eq."
"Transition to renewable",2048,"0.5%","-2%","8.37e+01","Mt CO2 eq."
"Constant",2050,"0.5%","-2%","1.04e+02","Mt CO2 eq."
"Transition to renewable",2050,"0.5%","-2%","8.60e+01","Mt CO2 eq."
"Constant",2030,"1%","-2%","8.56e+01","Mt CO2 eq."
"Transition to renewable",2030,"1%","-2%","6.10e+01","Mt CO2 eq."
"Constant",2032,"1%","-2%","8.62e+01","Mt CO2 eq."
"Transition to renewable",2032,"1%","-2%","6.18e+01","Mt CO2 eq."
"Constant",2034,"1%","-2%","8.73e+01","Mt CO2 eq."
"Transition to renewable",2034,"1%","-2%","6.35e+01","Mt CO2 eq."
"Constant",2036,"1%","-2%","8.84e+01","Mt CO2 eq."
"Transition to renewable",2036,"1%","-2%","6.53e+01","Mt CO2 eq."
"Constant",2038,"1%","-2%","8.95e+01","Mt CO2 eq."
"Transition to renewable",2038,"1%","-2%","6.73e+01","Mt CO2 eq."
"Constant",2040,"1%","-2%","9.08e+01","Mt CO2 eq."
"Transition to renewable",2040,"1%","-2%","6.95e+01","Mt CO2 eq."
"Constant",2042,"1%","-2%","9.20e+01","Mt CO2 eq."
"Transition to renewable",2042,"1%","-2%","7.18e+01","Mt CO2 eq."
"Constant",2044,"1%","-2%","9.31e+01","Mt CO2 eq."
"Transition to renewable",2044,"1%","-2%","7.41e+01","Mt CO2 eq."
"Constant",2046,"1%","-2%","9.42e+01","Mt CO2 eq."
"Transition to renewable",2046,"1%","-2%","7.62e+01","Mt CO2 eq."
"Constant",2048,"1%","-2%","9.52e+01","Mt CO2 eq."
"Transition to renewable",2048,"1%","-2%","7.83e+01","Mt CO2 eq."
"Constant",2050,"1%","-2%","9.62e+01","Mt CO2 eq."
"Transition to renewable",2050,"1%","-2%","8.02e+01","Mt CO2 eq."
"Constant",2030,"1.5%","-2%","7.88e+01","Mt CO2 eq."
"Transition to renewable",2030,"1.5%","-2%","5.74e+01","Mt CO2 eq."
"Constant",2032,"1.5%","-2%","7.93e+01","Mt CO2 eq."
