"Fuel","Year","Value","Mode","Unit"
"Diesel",2017,12735979.116,"Private car","L or kWh"
"CNG",2017,2543853.552,"Private car","L or kWh"
"Electricity",2017,1337427.73728596,"Private car","L or kWh"
"Gasoline",2018,812934612.096856,"Private car","L or kWh"
"Diesel",2018,14959280.7,"Private car","L or kWh"
"CNG",2018,1022994,"Private car","L or kWh"
"Electricity",2018,2525116.67776912,"Private car","L or kWh"
"Gasoline",2019,808153479.793172,"Private car","L or kWh"
"Diesel",2019,15438068.1,"Private car","L or kWh"
"CNG",2019,649378.8,"Private car","L or kWh"
"Electricity",2019,4423141.55833093,"Private car","L or kWh"
"Gasoline",2005,34151049.7987312,"Private hire car","L or kWh"
"Diesel",2005,0,"Private hire car","L or kWh"
"CNG",2005,27927.77856,"Private hire car","L or kWh"
"Electricity",2005,0,"Private hire car","L or kWh"
"Gasoline",2006,36253685.0549601,"Private hire car","L or kWh"
"Diesel",2006,0,"Private hire car","L or kWh"
"CNG",2006,28601.472,"Private hire car","L or kWh"
"Electricity",2006,0,"Private hire car","L or kWh"
"Gasoline",2007,42513526.5578758,"Private hire car","L or kWh"
"Diesel",2007,0,"Private hire car","L or kWh"
"CNG",2007,35243.52,"Private hire car","L or kWh"
"Electricity",2007,0,"Private hire car","L or kWh"
"Gasoline",2008,46894581.8948322,"Private hire car","L or kWh"
"Diesel",2008,0,"Private hire car","L or kWh"
"CNG",2008,367176.48,"Private hire car","L or kWh"
"Electricity",2008,0,"Private hire car","L or kWh"
"Gasoline",2009,45178776.8136983,"Private hire car","L or kWh"
"Diesel",2009,2083.872,"Private hire car","L or kWh"
"CNG",2009,391880.832,"Private hire car","L or kWh"
"Electricity",2009,0,"Private hire car","L or kWh"
"Gasoline",2010,42341187.3956498,"Private hire car","L or kWh"
"Diesel",2010,6092.136,"Private hire car","L or kWh"
"CNG",2010,394829.088,"Private hire car","L or kWh"
"Electricity",2010,0,"Private hire car","L or kWh"
"Gasoline",2011,42803742.2926062,"Private hire car","L or kWh"
"Diesel",2011,16160.64,"Private hire car","L or kWh"
"CNG",2011,392761.92,"Private hire car","L or kWh"
"Electricity",2011,0,"Private hire car","L or kWh"
"Gasoline",2012,44505242.3007926,"Private hire car","L or kWh"
"Diesel",2012,30960.384,"Private hire car","L or kWh"
"CNG",2012,363889.344,"Private hire car","L or kWh"
"Electricity",2012,0,"Private hire car","L or kWh"
"Gasoline",2013,48224874.4063972,"Private hire car","L or kWh"
"Diesel",2013,70022.352,"Private hire car","L or kWh"
"CNG",2013,355891.776,"Private hire car","L or kWh"
"Electricity",2013,0,"Private hire car","L or kWh"
"Gasoline",2014,54605821.6056069,"Private hire car","L or kWh"
