"Technology","Year","Value","Mode","Scenario"
"ICEV-G",2018,508138,"Private car","Default"
"ICEV-D",2018,15389,"Private car","Default"
"HEV-G",2018,24262,"Private car","Default"
"CNG",2018,345,"Private car","Default"
"PHEV",2018,339,"Private car","Default"
"BEV",2018,500,"Private car","Default"
"ICEV-G",2019,504631,"Private car","Default"
"ICEV-D",2019,15841,"Private car","Default"
"HEV-G",2019,31365,"Private car","Default"
"CNG",2019,219,"Private car","Default"
"PHEV",2019,415,"Private car","Default"
"BEV",2019,983,"Private car","Default"
"ICEV-G",2020,497765,"Private car","Default"
"ICEV-D",2020,15903,"Private car","Default"
"HEV-G",2020,37677,"Private car","Default"
"CNG",2020,196,"Private car","Default"
"PHEV",2020,479,"Private car","Default"
"BEV",2020,1435,"Private car","Default"
"ICEV-G",2021,491355,"Private car","Default"
"ICEV-D",2021,15770,"Private car","Default"
"HEV-G",2021,43745,"Private car","Default"
"CNG",2021,153,"Private car","Default"
"PHEV",2021,546,"Private car","Default"
"BEV",2021,1886,"Private car","Default"
"ICEV-G",2022,486008,"Private car","Default"
"ICEV-D",2022,15532,"Private car","Default"
"HEV-G",2022,48895,"Private car","Default"
"CNG",2022,112,"Private car","Default"
"PHEV",2022,606,"Private car","Default"
"BEV",2022,2302,"Private car","Default"
"ICEV-G",2023,481581,"Private car","Default"
"ICEV-D",2023,15217,"Private car","Default"
"HEV-G",2023,53297,"Private car","Default"
"CNG",2023,57,"Private car","Default"
"PHEV",2023,649,"Private car","Default"
"BEV",2023,2654,"Private car","Default"
"ICEV-G",2024,478105,"Private car","Default"
"ICEV-D",2024,14662,"Private car","Default"
"HEV-G",2024,57027,"Private car","Default"
"CNG",2024,43,"Private car","Default"
"PHEV",2024,671,"Private car","Default"
"BEV",2024,2947,"Private car","Default"
"ICEV-G",2025,475020,"Private car","Default"
"ICEV-D",2025,13896,"Private car","Default"
"HEV-G",2025,60592,"Private car","Default"
"CNG",2025,38,"Private car","Default"
"PHEV",2025,692,"Private car","Default"
"BEV",2025,3218,"Private car","Default"
"ICEV-G",2026,472675,"Private car","Default"
"ICEV-D",2026,12789,"Private car","Default"
"HEV-G",2026,63714,"Private car","Default"
"CNG",2026,35,"Private car","Default"
"PHEV",2026,735,"Private car","Default"
"BEV",2026,3507,"Private car","Default"
"ICEV-G",2027,471982,"Private car","Default"
"ICEV-D",2027,11604,"Private car","Default"
"HEV-G",2027,65333,"Private car","Default"
"CNG",2027,32,"Private car","Default"
"PHEV",2027,757,"Private car","Default"
"BEV",2027,3747,"Private car","Default"
"ICEV-G",2028,469615,"Private car","Default"
"ICEV-D",2028,11169,"Private car","Default"
"HEV-G",2028,67905,"Private car","Default"
"CNG",2028,28,"Private car","Default"
"PHEV",2028,751,"Private car","Default"
"BEV",2028,3988,"Private car","Default"
"ICEV-G",2029,468295,"Private car","Default"
"ICEV-D",2029,10853,"Private car","Default"
"HEV-G",2029,69427,"Private car","Default"
"CNG",2029,4,"Private car","Default"
"PHEV",2029,764,"Private car","Default"
"BEV",2029,4112,"Private car","Default"
"ICEV-G",2030,467145,"Private car","Default"
"ICEV-D",2030,10485,"Private car","Default"
"HEV-G",2030,70813,"Private car","Default"
"CNG",2030,0,"Private car","Default"
"PHEV",2030,776,"Private car","Default"
"BEV",2030,4235,"Private car","Default"
"ICEV-G",2031,466562,"Private car","Default"
"ICEV-D",2031,10118,"Private car","Default"
"HEV-G",2031,71661,"Private car","Default"
"CNG",2031,0,"Private car","Default"
"PHEV",2031,784,"Private car","Default"
"BEV",2031,4330,"Private car","Default"
"ICEV-G",2032,466386,"Private car","Default"
"ICEV-D",2032,9849,"Private car","Default"
"HEV-G",2032,72044,"Private car","Default"
"CNG",2032,0,"Private car","Default"
"PHEV",2032,787,"Private car","Default"
"BEV",2032,4389,"Private car","Default"
"ICEV-G",2033,466039,"Private car","Default"
"ICEV-D",2033,9762,"Private car","Default"
"HEV-G",2033,72436,"Private car","Default"
"CNG",2033,0,"Private car","Default"
"PHEV",2033,788,"Private car","Default"
"BEV",2033,4431,"Private car","Default"
"ICEV-G",2034,465919,"Private car","Default"
"ICEV-D",2034,9707,"Private car","Default"
"HEV-G",2034,72593,"Private car","Default"
"CNG",2034,0,"Private car","Default"
"PHEV",2034,789,"Private car","Default"
"BEV",2034,4447,"Private car","Default"
"ICEV-G",2035,465816,"Private car","Default"
"ICEV-D",2035,9633,"Private car","Default"
"HEV-G",2035,72755,"Private car","Default"
"CNG",2035,0,"Private car","Default"
"PHEV",2035,789,"Private car","Default"
"BEV",2035,4463,"Private car","Default"
"ICEV-G",2036,465671,"Private car","Default"
"ICEV-D",2036,9544,"Private car","Default"
"HEV-G",2036,72970,"Private car","Default"
"CNG",2036,0,"Private car","Default"
"PHEV",2036,789,"Private car","Default"
"BEV",2036,4481,"Private car","Default"
"ICEV-G",2037,465560,"Private car","Default"
"ICEV-D",2037,9432,"Private car","Default"
"HEV-G",2037,73170,"Private car","Default"
"CNG",2037,0,"Private car","Default"
"PHEV",2037,792,"Private car","Default"
"BEV",2037,4501,"Private car","Default"
"ICEV-G",2038,465639,"Private car","Default"
"ICEV-D",2038,9325,"Private car","Default"
"HEV-G",2038,73183,"Private car","Default"
"CNG",2038,0,"Private car","Default"
"PHEV",2038,792,"Private car","Default"
"BEV",2038,4516,"Private car","Default"
"ICEV-G",2039,465531,"Private car","Default"
"ICEV-D",2039,9305,"Private car","Default"
"HEV-G",2039,73294,"Private car","Default"
"CNG",2039,0,"Private car","Default"
"PHEV",2039,793,"Private car","Default"
"BEV",2039,4531,"Private car","Default"
"ICEV-G",2040,465533,"Private car","Default"
"ICEV-D",2040,9304,"Private car","Default"
"HEV-G",2040,73295,"Private car","Default"
"CNG",2040,0,"Private car","Default"
"PHEV",2040,793,"Private car","Default"
"BEV",2040,4530,"Private car","Default"
"ICEV-G",2041,465531,"Private car","Default"
"ICEV-D",2041,9306,"Private car","Default"
"HEV-G",2041,73294,"Private car","Default"
"CNG",2041,0,"Private car","Default"
"PHEV",2041,794,"Private car","Default"
"BEV",2041,4530,"Private car","Default"
"ICEV-G",2042,465529,"Private car","Default"
"ICEV-D",2042,9306,"Private car","Default"
"HEV-G",2042,73293,"Private car","Default"
"CNG",2042,0,"Private car","Default"
"PHEV",2042,795,"Private car","Default"
"BEV",2042,4532,"Private car","Default"
"ICEV-G",2043,465533,"Private car","Default"
"ICEV-D",2043,9306,"Private car","Default"
"HEV-G",2043,73292,"Private car","Default"
"CNG",2043,0,"Private car","Default"
"PHEV",2043,794,"Private car","Default"
"BEV",2043,4530,"Private car","Default"
"ICEV-G",2044,465535,"Private car","Default"
"ICEV-D",2044,9302,"Private car","Default"
"HEV-G",2044,73295,"Private car","Default"
"CNG",2044,0,"Private car","Default"
"PHEV",2044,794,"Private car","Default"
"BEV",2044,4529,"Private car","Default"
"ICEV-G",2045,465532,"Private car","Default"
"ICEV-D",2045,9303,"Private car","Default"
"HEV-G",2045,73296,"Private car","Default"
"CNG",2045,0,"Private car","Default"
"PHEV",2045,794,"Private car","Default"
"BEV",2045,4529,"Private car","Default"
"ICEV-G",2046,465532,"Private car","Default"
"ICEV-D",2046,9301,"Private car","Default"
"HEV-G",2046,73298,"Private car","Default"
"CNG",2046,0,"Private car","Default"
"PHEV",2046,794,"Private car","Default"
"BEV",2046,4530,"Private car","Default"
"ICEV-G",2047,465533,"Private car","Default"
"ICEV-D",2047,9299,"Private car","Default"
"HEV-G",2047,73299,"Private car","Default"
"CNG",2047,0,"Private car","Default"
"PHEV",2047,792,"Private car","Default"
"BEV",2047,4531,"Private car","Default"
"ICEV-G",2048,465534,"Private car","Default"
"ICEV-D",2048,9298,"Private car","Default"
"HEV-G",2048,73299,"Private car","Default"
"CNG",2048,0,"Private car","Default"
"PHEV",2048,792,"Private car","Default"
"BEV",2048,4532,"Private car","Default"
"ICEV-G",2049,465536,"Private car","Default"
"ICEV-D",2049,9297,"Private car","Default"
"HEV-G",2049,73298,"Private car","Default"
"CNG",2049,0,"Private car","Default"
"PHEV",2049,792,"Private car","Default"
"BEV",2049,4532,"Private car","Default"
"ICEV-G",2050,465535,"Private car","Default"
"ICEV-D",2050,9296,"Private car","Default"
"HEV-G",2050,73299,"Private car","Default"
"CNG",2050,0,"Private car","Default"
"PHEV",2050,793,"Private car","Default"
"BEV",2050,4532,"Private car","Default"
"ICEV-G",2005,8558,"Private hire car","Default"
"ICEV-D",2005,0,"Private hire car","Default"
"HEV-G",2005,6,"Private hire car","Default"
"CNG",2005,4,"Private hire car","Default"
"PHEV",2005,0,"Private hire car","Default"
"BEV",2005,0,"Private hire car","Default"
"ICEV-G",2006,9223,"Private hire car","Default"
"ICEV-D",2006,0,"Private hire car","Default"
"HEV-G",2006,7,"Private hire car","Default"
"CNG",2006,4,"Private hire car","Default"
"PHEV",2006,0,"Private hire car","Default"
"BEV",2006,0,"Private hire car","Default"
"ICEV-G",2007,11026,"Private hire car","Default"
"ICEV-D",2007,0,"Private hire car","Default"
"HEV-G",2007,23,"Private hire car","Default"
"CNG",2007,5,"Private hire car","Default"
"PHEV",2007,0,"Private hire car","Default"
"BEV",2007,0,"Private hire car","Default"
"ICEV-G",2008,12291,"Private hire car","Default"
"ICEV-D",2008,0,"Private hire car","Default"
"HEV-G",2008,45,"Private hire car","Default"
"CNG",2008,55,"Private hire car","Default"
"PHEV",2008,0,"Private hire car","Default"
"BEV",2008,0,"Private hire car","Default"
"ICEV-G",2009,12644,"Private hire car","Default"
"ICEV-D",2009,1,"Private hire car","Default"
"HEV-G",2009,58,"Private hire car","Default"
"CNG",2009,59,"Private hire car","Default"
"PHEV",2009,0,"Private hire car","Default"
"BEV",2009,0,"Private hire car","Default"
"ICEV-G",2010,13209,"Private hire car","Default"
"ICEV-D",2010,3,"Private hire car","Default"
"HEV-G",2010,74,"Private hire car","Default"
"CNG",2010,61,"Private hire car","Default"
"PHEV",2010,0,"Private hire car","Default"
"BEV",2010,0,"Private hire car","Default"
"ICEV-G",2011,13763,"Private hire car","Default"
"ICEV-D",2011,8,"Private hire car","Default"
"HEV-G",2011,87,"Private hire car","Default"
"CNG",2011,61,"Private hire car","Default"
"PHEV",2011,0,"Private hire car","Default"
"BEV",2011,0,"Private hire car","Default"
"ICEV-G",2012,14675,"Private hire car","Default"
"ICEV-D",2012,16,"Private hire car","Default"
"HEV-G",2012,113,"Private hire car","Default"
"CNG",2012,59,"Private hire car","Default"
"PHEV",2012,0,"Private hire car","Default"
"BEV",2012,0,"Private hire car","Default"
"ICEV-G",2013,16167,"Private hire car","Default"
"ICEV-D",2013,37,"Private hire car","Default"
"HEV-G",2013,133,"Private hire car","Default"
"CNG",2013,59,"Private hire car","Default"
"PHEV",2013,0,"Private hire car","Default"
"BEV",2013,0,"Private hire car","Default"
"ICEV-G",2014,18508,"Private hire car","Default"
"ICEV-D",2014,98,"Private hire car","Default"
"HEV-G",2014,176,"Private hire car","Default"
"CNG",2014,64,"Private hire car","Default"
"PHEV",2014,1,"Private hire car","Default"
"BEV",2014,0,"Private hire car","Default"
"ICEV-G",2015,28666,"Private hire car","Default"
"ICEV-D",2015,291,"Private hire car","Default"
"HEV-G",2015,312,"Private hire car","Default"
"CNG",2015,94,"Private hire car","Default"
"PHEV",2015,5,"Private hire car","Default"
"BEV",2015,0,"Private hire car","Default"
"ICEV-G",2016,49434,"Private hire car","Default"
"ICEV-D",2016,885,"Private hire car","Default"
"HEV-G",2016,862,"Private hire car","Default"
"CNG",2016,144,"Private hire car","Default"
"PHEV",2016,11,"Private hire car","Default"
"BEV",2016,1,"Private hire car","Default"
"ICEV-G",2017,63878,"Private hire car","Default"
"ICEV-D",2017,1725,"Private hire car","Default"
"HEV-G",2017,2310,"Private hire car","Default"
"CNG",2017,112,"Private hire car","Default"
"PHEV",2017,23,"Private hire car","Default"
"BEV",2017,35,"Private hire car","Default"
"ICEV-G",2018,61536,"Private hire car","Default"
"ICEV-D",2018,1865,"Private hire car","Default"
"HEV-G",2018,2938,"Private hire car","Default"
"CNG",2018,41,"Private hire car","Default"
"PHEV",2018,51,"Private hire car","Default"
"BEV",2018,70,"Private hire car","Default"
"ICEV-G",2019,70336,"Private hire car","Default"
"ICEV-D",2019,2208,"Private hire car","Default"
"HEV-G",2019,4372,"Private hire car","Default"
"CNG",2019,32,"Private hire car","Default"
"PHEV",2019,58,"Private hire car","Default"
"BEV",2019,137,"Private hire car","Default"
"ICEV-G",2020,70388,"Private hire car","Default"
"ICEV-D",2020,2270,"Private hire car","Default"
"HEV-G",2020,4844,"Private hire car","Default"
"CNG",2020,29,"Private hire car","Default"
"PHEV",2020,60,"Private hire car","Default"
"BEV",2020,161,"Private hire car","Default"
"ICEV-G",2021,70356,"Private hire car","Default"
"ICEV-D",2021,2326,"Private hire car","Default"
"HEV-G",2021,5407,"Private hire car","Default"
"CNG",2021,26,"Private hire car","Default"
"PHEV",2021,63,"Private hire car","Default"
"BEV",2021,191,"Private hire car","Default"
"ICEV-G",2022,70458,"Private hire car","Default"
"ICEV-D",2022,2351,"Private hire car","Default"
"HEV-G",2022,5877,"Private hire car","Default"
"CNG",2022,24,"Private hire car","Default"
"PHEV",2022,64,"Private hire car","Default"
"BEV",2022,218,"Private hire car","Default"
"ICEV-G",2023,70765,"Private hire car","Default"
"ICEV-D",2023,2356,"Private hire car","Default"
"HEV-G",2023,6172,"Private hire car","Default"
"CNG",2023,21,"Private hire car","Default"
"PHEV",2023,62,"Private hire car","Default"
"BEV",2023,236,"Private hire car","Default"
"ICEV-G",2024,71063,"Private hire car","Default"
"ICEV-D",2024,2373,"Private hire car","Default"
"HEV-G",2024,6448,"Private hire car","Default"
"CNG",2024,18,"Private hire car","Default"
"PHEV",2024,60,"Private hire car","Default"
"BEV",2024,253,"Private hire car","Default"
"ICEV-G",2025,70925,"Private hire car","Default"
"ICEV-D",2025,2443,"Private hire car","Default"
"HEV-G",2025,7060,"Private hire car","Default"
"CNG",2025,14,"Private hire car","Default"
"PHEV",2025,62,"Private hire car","Default"
"BEV",2025,284,"Private hire car","Default"
"ICEV-G",2026,70410,"Private hire car","Default"
"ICEV-D",2026,2504,"Private hire car","Default"
"HEV-G",2026,8006,"Private hire car","Default"
"CNG",2026,9,"Private hire car","Default"
"PHEV",2026,68,"Private hire car","Default"
"BEV",2026,334,"Private hire car","Default"
"ICEV-G",2027,70399,"Private hire car","Default"
"ICEV-D",2027,2447,"Private hire car","Default"
"HEV-G",2027,8551,"Private hire car","Default"
"CNG",2027,9,"Private hire car","Default"
"PHEV",2027,71,"Private hire car","Default"
"BEV",2027,372,"Private hire car","Default"
"ICEV-G",2028,71255,"Private hire car","Default"
"ICEV-D",2028,2356,"Private hire car","Default"
"HEV-G",2028,8296,"Private hire car","Default"
"CNG",2028,8,"Private hire car","Default"
"PHEV",2028,57,"Private hire car","Default"
"BEV",2028,367,"Private hire car","Default"
"ICEV-G",2029,71388,"Private hire car","Default"
"ICEV-D",2029,2385,"Private hire car","Default"
"HEV-G",2029,8582,"Private hire car","Default"
"CNG",2029,4,"Private hire car","Default"
"PHEV",2029,59,"Private hire car","Default"
"BEV",2029,382,"Private hire car","Default"
"ICEV-G",2030,71493,"Private hire car","Default"
"ICEV-D",2030,2402,"Private hire car","Default"
"HEV-G",2030,8876,"Private hire car","Default"
"CNG",2030,2,"Private hire car","Default"
"PHEV",2030,60,"Private hire car","Default"
"BEV",2030,397,"Private hire car","Default"
"ICEV-G",2031,71675,"Private hire car","Default"
"ICEV-D",2031,2400,"Private hire car","Default"
"HEV-G",2031,9081,"Private hire car","Default"
"CNG",2031,1,"Private hire car","Default"
"PHEV",2031,59,"Private hire car","Default"
"BEV",2031,411,"Private hire car","Default"
"ICEV-G",2032,71960,"Private hire car","Default"
"ICEV-D",2032,2384,"Private hire car","Default"
"HEV-G",2032,9170,"Private hire car","Default"
"CNG",2032,1,"Private hire car","Default"
"PHEV",2032,58,"Private hire car","Default"
"BEV",2032,419,"Private hire car","Default"
"ICEV-G",2033,72327,"Private hire car","Default"
"ICEV-D",2033,2372,"Private hire car","Default"
"HEV-G",2033,9144,"Private hire car","Default"
"CNG",2033,1,"Private hire car","Default"
"PHEV",2033,56,"Private hire car","Default"
"BEV",2033,421,"Private hire car","Default"
"ICEV-G",2034,72563,"Private hire car","Default"
"ICEV-D",2034,2379,"Private hire car","Default"
"HEV-G",2034,9192,"Private hire car","Default"
"CNG",2034,1,"Private hire car","Default"
"PHEV",2034,56,"Private hire car","Default"
"BEV",2034,425,"Private hire car","Default"
"ICEV-G",2035,72764,"Private hire car","Default"
"ICEV-D",2035,2384,"Private hire car","Default"
"HEV-G",2035,9243,"Private hire car","Default"
"CNG",2035,1,"Private hire car","Default"
"PHEV",2035,56,"Private hire car","Default"
"BEV",2035,430,"Private hire car","Default"
"ICEV-G",2036,72897,"Private hire car","Default"
"ICEV-D",2036,2396,"Private hire car","Default"
"HEV-G",2036,9319,"Private hire car","Default"
"CNG",2036,1,"Private hire car","Default"
"PHEV",2036,55,"Private hire car","Default"
"BEV",2036,434,"Private hire car","Default"
"ICEV-G",2037,72981,"Private hire car","Default"
"ICEV-D",2037,2404,"Private hire car","Default"
"HEV-G",2037,9414,"Private hire car","Default"
"CNG",2037,0,"Private hire car","Default"
"PHEV",2037,55,"Private hire car","Default"
"BEV",2037,439,"Private hire car","Default"
"ICEV-G",2038,73078,"Private hire car","Default"
"ICEV-D",2038,2402,"Private hire car","Default"
"HEV-G",2038,9467,"Private hire car","Default"
"CNG",2038,0,"Private hire car","Default"
"PHEV",2038,56,"Private hire car","Default"
"BEV",2038,444,"Private hire car","Default"
"ICEV-G",2039,73245,"Private hire car","Default"
"ICEV-D",2039,2394,"Private hire car","Default"
"HEV-G",2039,9436,"Private hire car","Default"
"CNG",2039,0,"Private hire car","Default"
"PHEV",2039,53,"Private hire car","Default"
"BEV",2039,443,"Private hire car","Default"
"ICEV-G",2040,73322,"Private hire car","Default"
"ICEV-D",2040,2397,"Private hire car","Default"
"HEV-G",2040,9447,"Private hire car","Default"
"CNG",2040,0,"Private hire car","Default"
"PHEV",2040,53,"Private hire car","Default"
"BEV",2040,443,"Private hire car","Default"
"ICEV-G",2041,73370,"Private hire car","Default"
"ICEV-D",2041,2400,"Private hire car","Default"
"HEV-G",2041,9456,"Private hire car","Default"
"CNG",2041,0,"Private hire car","Default"
"PHEV",2041,53,"Private hire car","Default"
"BEV",2041,444,"Private hire car","Default"
"ICEV-G",2042,73397,"Private hire car","Default"
"ICEV-D",2042,2400,"Private hire car","Default"
"HEV-G",2042,9458,"Private hire car","Default"
"CNG",2042,0,"Private hire car","Default"
"PHEV",2042,53,"Private hire car","Default"
"BEV",2042,444,"Private hire car","Default"
"ICEV-G",2043,73397,"Private hire car","Default"
"ICEV-D",2043,2401,"Private hire car","Default"
"HEV-G",2043,9458,"Private hire car","Default"
"CNG",2043,0,"Private hire car","Default"
"PHEV",2043,53,"Private hire car","Default"
"BEV",2043,445,"Private hire car","Default"
"ICEV-G",2044,73380,"Private hire car","Default"
"ICEV-D",2044,2399,"Private hire car","Default"
"HEV-G",2044,9453,"Private hire car","Default"
"CNG",2044,0,"Private hire car","Default"
"PHEV",2044,53,"Private hire car","Default"
"BEV",2044,446,"Private hire car","Default"
"ICEV-G",2045,73340,"Private hire car","Default"
"ICEV-D",2045,2398,"Private hire car","Default"
"HEV-G",2045,9449,"Private hire car","Default"
"CNG",2045,0,"Private hire car","Default"
"PHEV",2045,53,"Private hire car","Default"
"BEV",2045,445,"Private hire car","Default"
"ICEV-G",2046,73278,"Private hire car","Default"
"ICEV-D",2046,2398,"Private hire car","Default"
"HEV-G",2046,9443,"Private hire car","Default"
"CNG",2046,0,"Private hire car","Default"
"PHEV",2046,53,"Private hire car","Default"
"BEV",2046,445,"Private hire car","Default"
"ICEV-G",2047,73203,"Private hire car","Default"
"ICEV-D",2047,2395,"Private hire car","Default"
"HEV-G",2047,9434,"Private hire car","Default"
"CNG",2047,0,"Private hire car","Default"
"PHEV",2047,53,"Private hire car","Default"
"BEV",2047,442,"Private hire car","Default"
"ICEV-G",2048,73113,"Private hire car","Default"
"ICEV-D",2048,2391,"Private hire car","Default"
"HEV-G",2048,9422,"Private hire car","Default"
"CNG",2048,0,"Private hire car","Default"
"PHEV",2048,54,"Private hire car","Default"
"BEV",2048,440,"Private hire car","Default"
"ICEV-G",2049,73004,"Private hire car","Default"
"ICEV-D",2049,2389,"Private hire car","Default"
"HEV-G",2049,9409,"Private hire car","Default"
"CNG",2049,0,"Private hire car","Default"
"PHEV",2049,54,"Private hire car","Default"
"BEV",2049,441,"Private hire car","Default"
"ICEV-G",2050,72886,"Private hire car","Default"
"ICEV-D",2050,2383,"Private hire car","Default"
"HEV-G",2050,9394,"Private hire car","Default"
"CNG",2050,0,"Private hire car","Default"
"PHEV",2050,54,"Private hire car","Default"
"BEV",2050,441,"Private hire car","Default"
"ICEV-G",2005,1,"Taxi","Default"
"ICEV-D",2005,22282,"Taxi","Default"
"HEV-G",2005,0,"Taxi","Default"
"CNG",2005,100,"Taxi","Default"
"PHEV",2005,0,"Taxi","Default"
"BEV",2005,0,"Taxi","Default"
"ICEV-G",2006,1,"Taxi","Default"
"ICEV-D",2006,23042,"Taxi","Default"
"HEV-G",2006,0,"Taxi","Default"
"CNG",2006,104,"Taxi","Default"
"PHEV",2006,0,"Taxi","Default"
"BEV",2006,0,"Taxi","Default"
"ICEV-G",2007,1,"Taxi","Default"
"ICEV-D",2007,23538,"Taxi","Default"
"HEV-G",2007,0,"Taxi","Default"
"CNG",2007,203,"Taxi","Default"
"PHEV",2007,0,"Taxi","Default"
"BEV",2007,0,"Taxi","Default"
"ICEV-G",2008,7,"Taxi","Default"
"ICEV-D",2008,22289,"Taxi","Default"
"HEV-G",2008,0,"Taxi","Default"
"CNG",2008,702,"Taxi","Default"
"PHEV",2008,0,"Taxi","Default"
"BEV",2008,0,"Taxi","Default"
"ICEV-G",2009,140,"Taxi","Default"
"ICEV-D",2009,22521,"Taxi","Default"
"HEV-G",2009,4,"Taxi","Default"
"CNG",2009,1776,"Taxi","Default"
"PHEV",2009,0,"Taxi","Default"
"BEV",2009,0,"Taxi","Default"
"ICEV-G",2010,230,"Taxi","Default"
"ICEV-D",2010,23212,"Taxi","Default"
"HEV-G",2010,45,"Taxi","Default"
"CNG",2010,2599,"Taxi","Default"
"PHEV",2010,0,"Taxi","Default"
"BEV",2010,0,"Taxi","Default"
"ICEV-G",2011,279,"Taxi","Default"
"ICEV-D",2011,23878,"Taxi","Default"
"HEV-G",2011,56,"Taxi","Default"
"CNG",2011,2837,"Taxi","Default"
"PHEV",2011,0,"Taxi","Default"
"BEV",2011,0,"Taxi","Default"
"ICEV-G",2012,459,"Taxi","Default"
"ICEV-D",2012,25018,"Taxi","Default"
"HEV-G",2012,127,"Taxi","Default"
"CNG",2012,2608,"Taxi","Default"
"PHEV",2012,0,"Taxi","Default"
"BEV",2012,0,"Taxi","Default"
"ICEV-G",2013,590,"Taxi","Default"
"ICEV-D",2013,24142,"Taxi","Default"
"HEV-G",2013,662,"Taxi","Default"
"CNG",2013,2299,"Taxi","Default"
"PHEV",2013,0,"Taxi","Default"
"BEV",2013,0,"Taxi","Default"
"ICEV-G",2014,543,"Taxi","Default"
"ICEV-D",2014,24492,"Taxi","Default"
"HEV-G",2014,1608,"Taxi","Default"
"CNG",2014,2092,"Taxi","Default"
"PHEV",2014,0,"Taxi","Default"
"BEV",2014,0,"Taxi","Default"
"ICEV-G",2015,465,"Taxi","Default"
"ICEV-D",2015,24244,"Taxi","Default"
"HEV-G",2015,1890,"Taxi","Default"
"CNG",2015,1659,"Taxi","Default"
"PHEV",2015,0,"Taxi","Default"
"BEV",2015,0,"Taxi","Default"
"ICEV-G",2016,260,"Taxi","Default"
"ICEV-D",2016,23748,"Taxi","Default"
"HEV-G",2016,2492,"Taxi","Default"
"CNG",2016,1036,"Taxi","Default"
"PHEV",2016,0,"Taxi","Default"
"BEV",2016,0,"Taxi","Default"
"ICEV-G",2017,129,"Taxi","Default"
"ICEV-D",2017,18850,"Taxi","Default"
"HEV-G",2017,4159,"Taxi","Default"
"CNG",2017,0,"Taxi","Default"
"PHEV",2017,0,"Taxi","Default"
"BEV",2017,0,"Taxi","Default"
"ICEV-G",2018,53,"Taxi","Default"
"ICEV-D",2018,15090,"Taxi","Default"
"HEV-G",2018,5330,"Taxi","Default"
"CNG",2018,0,"Taxi","Default"
