"Mode","Year","Value","Unit","Scenario"
"Private hire car",2034,1596772.70494901,"thousand passenger","PT_Constant"
"Taxi",2034,1606597.15945552,"thousand passenger","PT_Constant"
"Motorcycle",2034,1349286.1980856,"thousand passenger","PT_Constant"
"Public bus",2034,7511331.94211838,"thousand passenger","PT_Constant"
"School bus",2034,2973560.42656729,"thousand passenger","PT_Constant"
"Private bus",2034,1666557.41801406,"thousand passenger","PT_Constant"
"MRT",2034,26455804.5845772,"thousand passenger","PT_Constant"
"LRT",2034,330815.117259269,"thousand passenger","PT_Constant"
"Private car",2035,12568752.0705467,"thousand passenger","PT_Constant"
"Private hire car",2035,1601684.75749967,"thousand passenger","PT_Constant"
"Taxi",2035,1611539.43436448,"thousand passenger","PT_Constant"
"Motorcycle",2035,1353436.92328922,"thousand passenger","PT_Constant"
"Public bus",2035,7534438.58535621,"thousand passenger","PT_Constant"
"School bus",2035,2982707.80554777,"thousand passenger","PT_Constant"
"Private bus",2035,1671684.14493681,"thousand passenger","PT_Constant"
"MRT",2035,26537188.9306314,"thousand passenger","PT_Constant"
"LRT",2035,331832.783227315,"thousand passenger","PT_Constant"
"Private car",2036,12602090.549157,"thousand passenger","PT_Constant"
"Private hire car",2036,1605933.20895521,"thousand passenger","PT_Constant"
"Taxi",2036,1615814.02524357,"thousand passenger","PT_Constant"
"Motorcycle",2036,1357026.90005575,"thousand passenger","PT_Constant"
"Public bus",2036,7554423.60202367,"thousand passenger","PT_Constant"
"School bus",2036,2990619.40566671,"thousand passenger","PT_Constant"
"Private bus",2036,1676118.26900867,"thousand passenger","PT_Constant"
"MRT",2036,26607578.5365825,"thousand passenger","PT_Constant"
"LRT",2036,332712.966087455,"thousand passenger","PT_Constant"
"Private car",2037,12630235.3887442,"thousand passenger","PT_Constant"
"Private hire car",2037,1609519.81487408,"thousand passenger","PT_Constant"
"Taxi",2037,1619422.69845266,"thousand passenger","PT_Constant"
"Motorcycle",2037,1360057.61184667,"thousand passenger","PT_Constant"
"Public bus",2037,7571295.2503921,"thousand passenger","PT_Constant"
"School bus",2037,2997298.49618034,"thousand passenger","PT_Constant"
"Private bus",2037,1679861.62251231,"thousand passenger","PT_Constant"
"MRT",2037,26667002.4890446,"thousand passenger","PT_Constant"
"LRT",2037,333456.029551614,"thousand passenger","PT_Constant"
"Private car",2038,12653292.8630889,"thousand passenger","PT_Constant"
"Private hire car",2038,1612458.11813578,"thousand passenger","PT_Constant"
"Taxi",2038,1622379.08019642,"thousand passenger","PT_Constant"
"Motorcycle",2038,1362540.50250763,"thousand passenger","PT_Constant"
"Public bus",2038,7585117.23712621,"thousand passenger","PT_Constant"
"School bus",2038,3002770.29706543,"thousand passenger","PT_Constant"
"Private bus",2038,1682928.34019979,"thousand passenger","PT_Constant"
"MRT",2038,26715685.1704686,"thousand passenger","PT_Constant"
"LRT",2038,334064.779397505,"thousand passenger","PT_Constant"
"Private car",2039,12671469.6156536,"thousand passenger","PT_Constant"
"Private hire car",2039,1614774.45211709,"thousand passenger","PT_Constant"
"Taxi",2039,1624709.66587289,"thousand passenger","PT_Constant"
"Motorcycle",2039,1364497.82396074,"thousand passenger","PT_Constant"
"Public bus",2039,7596013.43629626,"thousand passenger","PT_Constant"
"School bus",2039,3007083.8471657,"thousand passenger","PT_Constant"
"Private bus",2039,1685345.90631123,"thousand passenger","PT_Constant"
"MRT",2039,26754062.8800651,"thousand passenger","PT_Constant"
"LRT",2039,334544.671304014,"thousand passenger","PT_Constant"
"Private car",2040,12684934.8972741,"thousand passenger","PT_Constant"
"Private hire car",2040,1616490.38510757,"thousand passenger","PT_Constant"
"Taxi",2040,1626436.1564747,"thousand passenger","PT_Constant"
"Motorcycle",2040,1365947.80158982,"thousand passenger","PT_Constant"
"Public bus",2040,7604085.30666455,"thousand passenger","PT_Constant"
"School bus",2040,3010279.31162932,"thousand passenger","PT_Constant"
"Private bus",2040,1687136.83174804,"thousand passenger","PT_Constant"
"MRT",2040,26782492.9676635,"thousand passenger","PT_Constant"
"LRT",2040,334900.17373194,"thousand passenger","PT_Constant"
"Private car",2041,12693818.598127,"thousand passenger","PT_Constant"
"Private hire car",2041,1617622.4695155,"thousand passenger","PT_Constant"
"Taxi",2041,1627575.20625205,"thousand passenger","PT_Constant"
"Motorcycle",2041,1366904.42231734,"thousand passenger","PT_Constant"
"Public bus",2041,7609410.71193237,"thousand passenger","PT_Constant"
"School bus",2041,3012387.51487235,"thousand passenger","PT_Constant"
"Private bus",2041,1688318.39231831,"thousand passenger","PT_Constant"
"MRT",2041,26801249.6784819,"thousand passenger","PT_Constant"
"LRT",2041,335134.715965156,"thousand passenger","PT_Constant"
"Private car",2042,12698280.1288831,"thousand passenger","PT_Constant"
"Private hire car",2042,1618191.01966011,"thousand passenger","PT_Constant"
"Taxi",2042,1628147.25451196,"thousand passenger","PT_Constant"
"Motorcycle",2042,1367384.85191177,"thousand passenger","PT_Constant"
"Public bus",2042,7612085.21209678,"thousand passenger","PT_Constant"
"School bus",2042,3013446.28685993,"thousand passenger","PT_Constant"
"Private bus",2042,1688911.79015013,"thousand passenger","PT_Constant"
"MRT",2042,26810669.5861969,"thousand passenger","PT_Constant"
"LRT",2042,335252.506670229,"thousand passenger","PT_Constant"
"Private car",2043,12698600.9182582,"thousand passenger","PT_Constant"
"Private hire car",2043,1618231.89909265,"thousand passenger","PT_Constant"
"Taxi",2043,1628188.38546316,"thousand passenger","PT_Constant"
"Motorcycle",2043,1367419.3953718,"thousand passenger","PT_Constant"
"Public bus",2043,7612277.51184393,"thousand passenger","PT_Constant"
"School bus",2043,3013522.41382683,"thousand passenger","PT_Constant"
"Private bus",2043,1688954.45616097,"thousand passenger","PT_Constant"
"MRT",2043,26811346.8887807,"thousand passenger","PT_Constant"
"LRT",2043,335260.975962212,"thousand passenger","PT_Constant"
"Private car",2044,12695148.9884186,"thousand passenger","PT_Constant"
"Private hire car",2044,1617792.00630322,"thousand passenger","PT_Constant"
"Taxi",2044,1627745.78614781,"thousand passenger","PT_Constant"
"Motorcycle",2044,1367047.68231109,"thousand passenger","PT_Constant"
"Public bus",2044,7610208.22499419,"thousand passenger","PT_Constant"
"School bus",2044,3012703.23161853,"thousand passenger","PT_Constant"
"Private bus",2044,1688495.33847372,"thousand passenger","PT_Constant"
"MRT",2044,26804058.614351,"thousand passenger","PT_Constant"
"LRT",2044,335169.840145407,"thousand passenger","PT_Constant"
"Private car",2045,12688253.0008713,"thousand passenger","PT_Constant"
"Private hire car",2045,1616913.22390061,"thousand passenger","PT_Constant"
"Taxi",2045,1626861.59686562,"thousand passenger","PT_Constant"
"Motorcycle",2045,1366305.10388193,"thousand passenger","PT_Constant"
"Public bus",2045,7606074.37030689,"thousand passenger","PT_Constant"
"School bus",2045,3011066.73534836,"thousand passenger","PT_Constant"
"Private bus",2045,1687578.15011789,"thousand passenger","PT_Constant"
"MRT",2045,26789498.686414,"thousand passenger","PT_Constant"
"LRT",2045,334987.776347182,"thousand passenger","PT_Constant"
"Private car",2046,12678117.6310459,"thousand passenger","PT_Constant"
"Private hire car",2046,1615621.63446755,"thousand passenger","PT_Constant"
"Taxi",2046,1625562.06067747,"thousand passenger","PT_Constant"
"Motorcycle",2046,1365213.70008337,"thousand passenger","PT_Constant"
"Public bus",2046,7599998.64209925,"thousand passenger","PT_Constant"
"School bus",2046,3008661.49682342,"thousand passenger","PT_Constant"
"Private bus",2046,1686230.11357892,"thousand passenger","PT_Constant"
"MRT",2046,26768099.2489496,"thousand passenger","PT_Constant"
"LRT",2046,334720.188287576,"thousand passenger","PT_Constant"
"Private car",2047,12664916.0658441,"thousand passenger","PT_Constant"
"Private hire car",2047,1613939.30788173,"thousand passenger","PT_Constant"
