"Mode","Year","Value","Unit","Scenario"
"School bus",2027,429777.755600193,"thousand km","PC_Constant"
"Private bus",2027,144523.575231955,"thousand km","PC_Constant"
"MRT",2027,39138.4739735362,"thousand km","PC_Constant"
"LRT",2027,7021.8461168246,"thousand km","PC_Constant"
"Private car",2028,12160231.6854609,"thousand km","PC_Constant"
"Private hire car",2028,3389805.61183162,"thousand km","PC_Constant"
"Taxi",2028,1185840.87673911,"thousand km","PC_Constant"
"Motorcycle",2028,1742856.17132619,"thousand km","PC_Constant"
"Public bus",2028,328404.131958029,"thousand km","PC_Constant"
"School bus",2028,426767.883938036,"thousand km","PC_Constant"
"Private bus",2028,143511.43021529,"thousand km","PC_Constant"
"MRT",2028,38864.3746694703,"thousand km","PC_Constant"
"LRT",2028,6972.669873132,"thousand km","PC_Constant"
"Private car",2029,12431913.7329994,"thousand km","PC_Constant"
"Private hire car",2029,3465540.13344285,"thousand km","PC_Constant"
"Taxi",2029,1176873.00178089,"thousand km","PC_Constant"
"Motorcycle",2029,1729675.89012556,"thousand km","PC_Constant"
"Public bus",2029,325920.588635369,"thousand km","PC_Constant"
"School bus",2029,423540.46861241,"thousand km","PC_Constant"
"Private bus",2029,142426.130672584,"thousand km","PC_Constant"
"MRT",2029,38570.4643656497,"thousand km","PC_Constant"
"LRT",2029,6919.93933164555,"thousand km","PC_Constant"
"Private car",2030,12701084.7244895,"thousand km","PC_Constant"
"Private hire car",2030,3540574.66905836,"thousand km","PC_Constant"
"Taxi",2030,1167292.17656888,"thousand km","PC_Constant"
"Motorcycle",2030,1715594.74258319,"thousand km","PC_Constant"
"Public bus",2030,323267.296234249,"thousand km","PC_Constant"
"School bus",2030,420092.460888685,"thousand km","PC_Constant"
"Private bus",2030,141266.651390172,"thousand km","PC_Constant"
"MRT",2030,38256.465423645,"thousand km","PC_Constant"
"LRT",2030,6863.604681166,"thousand km","PC_Constant"
"Private car",2031,12761721.7150504,"thousand km","PC_Constant"
"Private hire car",2031,3557477.93342079,"thousand km","PC_Constant"
"Taxi",2031,1172865.01434044,"thousand km","PC_Constant"
"Motorcycle",2031,1723785.26366614,"thousand km","PC_Constant"
"Public bus",2031,324810.625517976,"thousand km","PC_Constant"
"School bus",2031,422098.048847364,"thousand km","PC_Constant"
"Private bus",2031,141941.080763152,"thousand km","PC_Constant"
"MRT",2031,38439.1078501075,"thousand km","PC_Constant"
"LRT",2031,6896.3726172355,"thousand km","PC_Constant"
"Private car",2032,12817304.6090002,"thousand km","PC_Constant"
"Private hire car",2032,3572972.3097375,"thousand km","PC_Constant"
"Taxi",2032,1177973.35576687,"thousand km","PC_Constant"
"Motorcycle",2032,1731293.10435112,"thousand km","PC_Constant"
"Public bus",2032,326225.31821815,"thousand km","PC_Constant"
"School bus",2032,423936.47093565,"thousand km","PC_Constant"
"Private bus",2032,142559.296409547,"thousand km","PC_Constant"
"MRT",2032,38606.5270199392,"thousand km","PC_Constant"
"LRT",2032,6926.40934397042,"thousand km","PC_Constant"
"Private car",2033,12867717.8030055,"thousand km","PC_Constant"
"Private hire car",2033,3587025.57223857,"thousand km","PC_Constant"
"Taxi",2033,1182606.57633305,"thousand km","PC_Constant"
"Motorcycle",2033,1738102.64955678,"thousand km","PC_Constant"
"Public bus",2033,327508.432005212,"thousand km","PC_Constant"
"School bus",2033,425603.903536121,"thousand km","PC_Constant"
"Private bus",2033,143120.01254187,"thousand km","PC_Constant"
"MRT",2033,38758.3747286347,"thousand km","PC_Constant"
"LRT",2033,6953.6523898892,"thousand km","PC_Constant"
"Private car",2034,12912827.4405751,"thousand km","PC_Constant"
"Private hire car",2034,3599600.40687465,"thousand km","PC_Constant"
"Taxi",2034,1186752.37396884,"thousand km","PC_Constant"
"Motorcycle",2034,1744195.81866264,"thousand km","PC_Constant"
"Public bus",2034,328656.559971251,"thousand km","PC_Constant"
"School bus",2034,427095.919302291,"thousand km","PC_Constant"
"Private bus",2034,143621.740353557,"thousand km","PC_Constant"
"MRT",2034,38894.2477920295,"thousand km","PC_Constant"
"LRT",2034,6978.02941959212,"thousand km","PC_Constant"
"Private car",2035,12952550.368434,"thousand km","PC_Constant"
"Private hire car",2035,3610673.63370596,"thousand km","PC_Constant"
"Taxi",2035,1190403.10647917,"thousand km","PC_Constant"
"Motorcycle",2035,1749561.37976809,"thousand km","PC_Constant"
"Public bus",2035,329667.585703777,"thousand km","PC_Constant"
"School bus",2035,428409.767912856,"thousand km","PC_Constant"
"Private bus",2035,144063.554979927,"thousand km","PC_Constant"
"MRT",2035,39013.8957472336,"thousand km","PC_Constant"
"LRT",2035,6999.49549745209,"thousand km","PC_Constant"
"Private car",2036,12986906.8678688,"thousand km","PC_Constant"
"Private hire car",2036,3620250.90637637,"thousand km","PC_Constant"
"Taxi",2036,1193560.63781405,"thousand km","PC_Constant"
"Motorcycle",2036,1754202.07236108,"thousand km","PC_Constant"
"Public bus",2036,330542.025400959,"thousand km","PC_Constant"
"School bus",2036,429546.120177892,"thousand km","PC_Constant"
"Private bus",2036,144445.68199773,"thousand km","PC_Constant"
"MRT",2036,39117.3796827569,"thousand km","PC_Constant"
"LRT",2036,7018.06158337815,"thousand km","PC_Constant"
"Private car",2037,13015911.13578,"thousand km","PC_Constant"
"Private hire car",2037,3628336.18243654,"thousand km","PC_Constant"
"Taxi",2037,1196226.27273849,"thousand km","PC_Constant"
"Motorcycle",2037,1758119.81408318,"thousand km","PC_Constant"
"Public bus",2037,331280.240401513,"thousand km","PC_Constant"
"School bus",2037,430505.445664448,"thousand km","PC_Constant"
"Private bus",2037,144768.279310694,"thousand km","PC_Constant"
"MRT",2037,39204.742360556,"thousand km","PC_Constant"
"LRT",2037,7033.73534930664,"thousand km","PC_Constant"
"Private car",2038,13039672.6911152,"thousand km","PC_Constant"
"Private hire car",2038,3634959.99156325,"thousand km","PC_Constant"
"Taxi",2038,1198410.07658261,"thousand km","PC_Constant"
"Motorcycle",2038,1761329.39816934,"thousand km","PC_Constant"
"Public bus",2038,331885.018175549,"thousand km","PC_Constant"
"School bus",2038,431291.366746925,"thousand km","PC_Constant"
"Private bus",2038,145032.565033279,"thousand km","PC_Constant"
"MRT",2038,39276.3136585838,"thousand km","PC_Constant"
"LRT",2038,7046.57597874641,"thousand km","PC_Constant"
"Private car",2039,13058404.4873832,"thousand km","PC_Constant"
"Private hire car",2039,3640181.69701684,"thousand km","PC_Constant"
"Taxi",2039,1200131.62082163,"thousand km","PC_Constant"
"Motorcycle",2039,1763859.58924306,"thousand km","PC_Constant"
"Public bus",2039,332361.778803835,"thousand km","PC_Constant"
"School bus",2039,431910.926931096,"thousand km","PC_Constant"
"Private bus",2039,145240.90772138,"thousand km","PC_Constant"
"MRT",2039,39332.7350061926,"thousand km","PC_Constant"
"LRT",2039,7056.69855074246,"thousand km","PC_Constant"
"Private car",2040,13072280.9436484,"thousand km","PC_Constant"
"Private hire car",2040,3644049.92013437,"thousand km","PC_Constant"
"Taxi",2040,1201406.93542572,"thousand km","PC_Constant"
"Motorcycle",2040,1765733.94690075,"thousand km","PC_Constant"
"Public bus",2040,332714.961590619,"thousand km","PC_Constant"
"School bus",2040,432369.895183598,"thousand km","PC_Constant"
"Private bus",2040,145395.247335065,"thousand km","PC_Constant"
"MRT",2040,39374.5317645663,"thousand km","PC_Constant"
"LRT",2040,7064.1973205126,"thousand km","PC_Constant"
"Private car",2041,13081435.9164022,"thousand km","PC_Constant"
"Private hire car",2041,3646601.97496519,"thousand km","PC_Constant"
"Taxi",2041,1202248.32246501,"thousand km","PC_Constant"
"Motorcycle",2041,1766970.55176289,"thousand km","PC_Constant"
"Public bus",2041,332947.973443811,"thousand km","PC_Constant"
"School bus",2041,432672.698850916,"thousand km","PC_Constant"
"Private bus",2041,145497.072680895,"thousand km","PC_Constant"
"MRT",2041,39402.1071178692,"thousand km","PC_Constant"
"LRT",2041,7069.14462345653,"thousand km","PC_Constant"
"Private car",2042,13086033.6840656,"thousand km","PC_Constant"
"Private hire car",2042,3647883.65602445,"thousand km","PC_Constant"
"Taxi",2042,1202670.87993468,"thousand km","PC_Constant"
"Motorcycle",2042,1767591.59368192,"thousand km","PC_Constant"
"Public bus",2042,333064.995568575,"thousand km","PC_Constant"
"School bus",2042,432824.771494649,"thousand km","PC_Constant"
"Private bus",2042,145548.210930562,"thousand km","PC_Constant"
"MRT",2042,39415.9558830304,"thousand km","PC_Constant"
"LRT",2042,7071.62923483755,"thousand km","PC_Constant"
"Private car",2043,13086364.2690366,"thousand km","PC_Constant"
"Private hire car",2043,3647975.81041909,"thousand km","PC_Constant"
"Taxi",2043,1202701.26232001,"thousand km","PC_Constant"
"Motorcycle",2043,1767636.24733556,"thousand km","PC_Constant"
"Public bus",2043,333073.40959872,"thousand km","PC_Constant"
"School bus",2043,432835.705698852,"thousand km","PC_Constant"
"Private bus",2043,145551.887831619,"thousand km","PC_Constant"
"MRT",2043,39416.9516257394,"thousand km","PC_Constant"
"LRT",2043,7071.80788135502,"thousand km","PC_Constant"
"Private car",2044,13082806.9313737,"thousand km","PC_Constant"
"Private hire car",2044,3646984.161289,"thousand km","PC_Constant"
"Taxi",2044,1202374.3254864,"thousand km","PC_Constant"
"Motorcycle",2044,1767155.74114854,"thousand km","PC_Constant"
"Public bus",2044,332982.868439991,"thousand km","PC_Constant"
"School bus",2044,432718.045611905,"thousand km","PC_Constant"
"Private bus",2044,145512.321669327,"thousand km","PC_Constant"
"MRT",2044,39406.2367011286,"thousand km","PC_Constant"
"LRT",2044,7069.88551330813,"thousand km","PC_Constant"
"Private car",2045,13075700.3685627,"thousand km","PC_Constant"
"Private hire car",2045,3645003.12448633,"thousand km","PC_Constant"
"Taxi",2045,1201721.19739919,"thousand km","PC_Constant"
"Motorcycle",2045,1766195.82456968,"thousand km","PC_Constant"
"Public bus",2045,332801.992601802,"thousand km","PC_Constant"
"School bus",2045,432482.993762042,"thousand km","PC_Constant"
"Private bus",2045,145433.279575443,"thousand km","PC_Constant"
"MRT",2045,39384.8312873108,"thousand km","PC_Constant"
"LRT",2045,7066.04516117797,"thousand km","PC_Constant"
"Private car",2046,13065255.5059836,"thousand km","PC_Constant"
"Private hire car",2046,3642091.49790708,"thousand km","PC_Constant"
"Taxi",2046,1200761.26313858,"thousand km","PC_Constant"
"Motorcycle",2046,1764784.9882737,"thousand km","PC_Constant"
"Public bus",2046,332536.150545103,"thousand km","PC_Constant"
"School bus",2046,432137.52657403,"thousand km","PC_Constant"
"Private bus",2046,145317.107548189,"thousand km","PC_Constant"
"MRT",2046,39353.3707047875,"thousand km","PC_Constant"
"LRT",2046,7060.40080801863,"thousand km","PC_Constant"
"Private car",2047,13051650.8189583,"thousand km","PC_Constant"
"Private hire car",2047,3638299.03361705,"thousand km","PC_Constant"
"Taxi",2047,1199510.92546477,"thousand km","PC_Constant"
"Motorcycle",2047,1762947.33975459,"thousand km","PC_Constant"
"Public bus",2047,332189.884813775,"thousand km","PC_Constant"
"School bus",2047,431687.547176517,"thousand km","PC_Constant"
"Private bus",2047,145165.790662981,"thousand km","PC_Constant"
"MRT",2047,39312.3925324445,"thousand km","PC_Constant"
"LRT",2047,7053.04890102973,"thousand km","PC_Constant"
"Private car",2048,13035291.933218,"thousand km","PC_Constant"
"Private hire car",2048,3633738.80449312,"thousand km","PC_Constant"
"Taxi",2048,1198007.46337816,"thousand km","PC_Constant"
"Motorcycle",2048,1760737.66877141,"thousand km","PC_Constant"
"Public bus",2048,331773.519371186,"thousand km","PC_Constant"
"School bus",2048,431146.471770982,"thousand km","PC_Constant"
"Private bus",2048,144983.840454858,"thousand km","PC_Constant"
"MRT",2048,39263.1185404769,"thousand km","PC_Constant"
"LRT",2048,7044.2086383922,"thousand km","PC_Constant"
"Private car",2049,13016389.7741429,"thousand km","PC_Constant"
"Private hire car",2049,3628469.60843124,"thousand km","PC_Constant"
"Taxi",2049,1196270.26195898,"thousand km","PC_Constant"
"Motorcycle",2049,1758184.46599888,"thousand km","PC_Constant"
"Public bus",2049,331292.422678286,"thousand km","PC_Constant"
"School bus",2049,430521.27678219,"thousand km","PC_Constant"
"Private bus",2049,144773.60292204,"thousand km","PC_Constant"
"MRT",2049,39206.1840493862,"thousand km","PC_Constant"
"LRT",2049,7033.99400316016,"thousand km","PC_Constant"
"Private car",2050,12995291.1517332,"thousand km","PC_Constant"
"Private hire car",2050,3622588.12274115,"thousand km","PC_Constant"
"Taxi",2050,1194331.19475256,"thousand km","PC_Constant"
"Motorcycle",2050,1755334.576681,"thousand km","PC_Constant"
"Public bus",2050,330755.421723754,"thousand km","PC_Constant"
"School bus",2050,429823.433062405,"thousand km","PC_Constant"
"Private bus",2050,144538.935426987,"thousand km","PC_Constant"
"MRT",2050,39142.6336726892,"thousand km","PC_Constant"
"LRT",2050,7022.59240977829,"thousand km","PC_Constant"
