"Mode","Year","Value","Unit","Scenario"
"Private hire car",2036,2007416.51119402,"thousand km","PT_Constant"
"Taxi",2036,923322.300139184,"thousand km","PT_Constant"
"Motorcycle",2036,1357026.90005575,"thousand km","PT_Constant"
"Public bus",2036,409765.359639426,"thousand km","PT_Constant"
"School bus",2036,332291.045074079,"thousand km","PT_Constant"
"Private bus",2036,111741.217933911,"thousand km","PT_Constant"
"MRT",2036,71248.4786942971,"thousand km","PT_Constant"
"LRT",2036,16520.732109141,"thousand km","PT_Constant"
"Private car",2037,7217277.3649967,"thousand km","PT_Constant"
"Private hire car",2037,2011899.76859261,"thousand km","PT_Constant"
"Taxi",2037,925384.399115804,"thousand km","PT_Constant"
"Motorcycle",2037,1360057.61184667,"thousand km","PT_Constant"
"Public bus",2037,410680.507826185,"thousand km","PT_Constant"
"School bus",2037,333033.16624226,"thousand km","PT_Constant"
"Private bus",2037,111990.774834154,"thousand km","PT_Constant"
"MRT",2037,71407.6012617679,"thousand km","PT_Constant"
"LRT",2037,16557.628634623,"thousand km","PT_Constant"
"Private car",2038,7230453.06462224,"thousand km","PT_Constant"
"Private hire car",2038,2015572.64766972,"thousand km","PT_Constant"
"Taxi",2038,927073.760112243,"thousand km","PT_Constant"
"Motorcycle",2038,1362540.50250763,"thousand km","PT_Constant"
"Public bus",2038,411430.23694695,"thousand km","PT_Constant"
"School bus",2038,333641.144118381,"thousand km","PT_Constant"
"Private bus",2038,112195.222679986,"thousand km","PT_Constant"
"MRT",2038,71537.9613764793,"thousand km","PT_Constant"
"LRT",2038,16587.8558699596,"thousand km","PT_Constant"
"Private car",2039,7240839.78037347,"thousand km","PT_Constant"
"Private hire car",2039,2018468.06514636,"thousand km","PT_Constant"
"Taxi",2039,928405.523355936,"thousand km","PT_Constant"
"Motorcycle",2039,1364497.82396074,"thousand km","PT_Constant"
"Public bus",2039,412021.266151405,"thousand km","PT_Constant"
"School bus",2039,334120.427462855,"thousand km","PT_Constant"
"Private bus",2039,112356.393754082,"thousand km","PT_Constant"
"MRT",2039,71640.7273392204,"thousand km","PT_Constant"
"LRT",2039,16611.6847147504,"thousand km","PT_Constant"
"Private car",2040,7248534.22701378,"thousand km","PT_Constant"
"Private hire car",2040,2020612.98138447,"thousand km","PT_Constant"
"Taxi",2040,929392.089414116,"thousand km","PT_Constant"
"Motorcycle",2040,1365947.80158982,"thousand km","PT_Constant"
"Public bus",2040,412459.098743098,"thousand km","PT_Constant"
"School bus",2040,334475.479069925,"thousand km","PT_Constant"
"Private bus",2040,112475.788783203,"thousand km","PT_Constant"
"MRT",2040,71716.8560439708,"thousand km","PT_Constant"
"LRT",2040,16629.3370486675,"thousand km","PT_Constant"
"Private car",2041,7253610.62750112,"thousand km","PT_Constant"
"Private hire car",2041,2022028.08689438,"thousand km","PT_Constant"
"Taxi",2041,930042.97500117,"thousand km","PT_Constant"
"Motorcycle",2041,1366904.42231734,"thousand km","PT_Constant"
"Public bus",2041,412747.958187545,"thousand km","PT_Constant"
"School bus",2041,334709.723874705,"thousand km","PT_Constant"
"Private bus",2041,112554.559487888,"thousand km","PT_Constant"
"MRT",2041,71767.0818512264,"thousand km","PT_Constant"
"LRT",2041,16640.9831514593,"thousand km","PT_Constant"
"Private car",2042,7256160.07364751,"thousand km","PT_Constant"
"Private hire car",2042,2022738.77457514,"thousand km","PT_Constant"
"Taxi",2042,930369.859721119,"thousand km","PT_Constant"
"Motorcycle",2042,1367384.85191177,"thousand km","PT_Constant"
"Public bus",2042,412893.027828785,"thousand km","PT_Constant"
"School bus",2042,334827.365206659,"thousand km","PT_Constant"
"Private bus",2042,112594.119343342,"thousand km","PT_Constant"
"MRT",2042,71792.3060215961,"thousand km","PT_Constant"
"LRT",2042,16646.8320028171,"thousand km","PT_Constant"
"Private car",2043,7256343.38186183,"thousand km","PT_Constant"
